<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFEM.US,5,20250819,194000,73.4522,73.4522,73.4522,73.4522,635,0
RFEM.US,5,20250819,200000,73.41,73.41,73.41,73.41,100,0
RFEM.US,5,20250819,203000,73.405,73.405,73.405,73.405,100,0
RFEM.US,5,20250819,204000,73.405,73.405,73.405,73.405,100,0
RFEM.US,5,20250819,204500,73.38,73.38,73.38,73.38,100,0
RFEM.US,5,20250819,205000,73.365,73.365,73.365,73.365,100,0
RFEM.US,5,20250819,205500,73.395,73.395,73.395,73.395,100,0
RFEM.US,5,20250819,213500,73.36,73.36,73.36,73.36,1600,0
RFEM.US,5,20250820,172000,72.9848,72.9848,72.9848,72.9848,700,0
RFEM.US,5,20250820,200500,73.0913,73.0913,73.0913,73.0913,156,0
RFEM.US,5,20250821,171000,73.22,73.22,73.22,73.22,100,0
RFEM.US,5,20250821,174000,73.3,73.3,73.2999,73.2999,586,0
RFEM.US,5,20250821,180000,73.23,73.23,73.23,73.23,100,0
RFEM.US,5,20250821,182000,73.18,73.18,73.18,73.18,214,0
RFEM.US,5,20250821,192000,73.18,73.1849,73.18,73.1849,200,0
RFEM.US,5,20250821,192500,73.115,73.115,73.115,73.115,563,0
RFEM.US,5,20250822,162000,74.18,74.18,74.18,74.18,100,0
RFEM.US,5,20250822,173500,74.32,74.32,74.32,74.32,100,0
RFEM.US,5,20250822,200000,74.4,74.4,74.4,74.4,231,0
RFEM.US,5,20250822,203500,74.4068,74.4068,74.4068,74.4068,243,0
RFEM.US,5,20250822,213000,74.35,74.35,74.35,74.35,100,0
RFEM.US,5,20250825,154000,74.42,74.42,74.42,74.42,400,0
RFEM.US,5,20250825,172000,74.545,74.545,74.545,74.545,107,0
RFEM.US,5,20250825,202500,74.36,74.3601,74.36,74.3601,600,0
RFEM.US,5,20250826,161500,74.1429,74.1429,74.1429,74.1429,352,0
RFEM.US,5,20250826,162000,74.2,74.2,74.2,74.2,596,0
RFEM.US,5,20250826,185000,74.1,74.1,74.1,74.1,148,0
RFEM.US,5,20250827,163500,73.53,73.53,73.53,73.53,120,0
RFEM.US,5,20250827,173500,73.7,73.7,73.6985,73.6985,576,0
RFEM.US,5,20250827,180500,73.7499,73.75,73.7499,73.75,200,0
RFEM.US,5,20250827,181500,73.71,73.71,73.71,73.71,1714,0
RFEM.US,5,20250827,212500,73.98,73.98,73.98,73.98,200,0
RFEM.US,5,20250827,214000,74.01,74.01,74.01,74.01,100,0
RFEM.US,5,20250827,214500,73.97,73.97,73.97,73.97,176,0
RFEM.US,5,20250827,215000,74.03,74.03,74.03,74.03,100,0
RFEM.US,5,20250828,193500,74.0761,74.0761,74.0761,74.0761,105,0
RFEM.US,5,20250828,200000,74.11,74.11,74.11,74.11,144,0
RFEM.US,5,20250828,204000,74.06,74.06,73.99,73.99,800,0
RFEM.US,5,20250828,204500,73.98,73.98,73.96,73.96,500,0
RFEM.US,5,20250829,153000,73.26,73.31,73.26,73.31,300,0
RFEM.US,5,20250829,154000,73.37,73.37,73.37,73.37,100,0
RFEM.US,5,20250829,155000,73.32,73.32,73.32,73.32,100,0
RFEM.US,5,20250829,155500,73.2848,73.2848,73.2848,73.2848,309,0
RFEM.US,5,20250829,160000,73.35,73.38,73.35,73.37,300,0
RFEM.US,5,20250829,165000,73.44,73.44,73.44,73.44,100,0
RFEM.US,5,20250829,172500,73.43,73.44,73.43,73.44,210,0
RFEM.US,5,20250829,174000,73.415,73.415,73.415,73.415,184,0
RFEM.US,5,20250829,185500,73.5175,73.5175,73.515,73.5175,600,0
RFEM.US,5,20250829,210000,73.567,73.567,73.567,73.567,142,0
RFEM.US,5,20250829,211500,73.58,73.58,73.58,73.58,100,0
RFEM.US,5,20250829,215000,73.59,73.59,73.59,73.59,100,0
RFEM.US,5,20250829,215500,73.57,73.57,73.57,73.57,100,0
RFEM.US,5,20250902,153000,72.15,72.15,72.15,72.15,100,0
RFEM.US,5,20250902,154000,72.38,72.38,72.38,72.38,100,0
RFEM.US,5,20250902,155000,72.54,72.54,72.54,72.54,100,0
RFEM.US,5,20250902,160000,72.75,72.75,72.75,72.75,100,0
RFEM.US,5,20250902,161000,72.77,72.77,72.77,72.77,100,0
RFEM.US,5,20250902,162000,72.84,72.88,72.84,72.88,300,0
RFEM.US,5,20250902,163000,72.89,72.94,72.89,72.94,800,0
RFEM.US,5,20250902,164000,72.91,72.91,72.79,72.79,800,0
RFEM.US,5,20250902,165000,72.74,72.76,72.74,72.76,700,0
RFEM.US,5,20250902,170000,72.75,72.77,72.75,72.77,1300,0
RFEM.US,5,20250902,171000,72.64,72.65,72.64,72.65,500,0
RFEM.US,5,20250902,172000,72.64,72.65,72.64,72.64,500,0
RFEM.US,5,20250902,173000,72.66,72.68,72.66,72.68,700,0
RFEM.US,5,20250902,174000,72.61,72.61,72.61,72.61,600,0
RFEM.US,5,20250902,175500,72.6,72.6,72.6,72.6,700,0
RFEM.US,5,20250902,180500,72.6,72.62,72.6,72.62,1000,0
RFEM.US,5,20250902,181500,72.67,72.6725,72.67,72.6725,700,0
RFEM.US,5,20250902,182500,72.66,72.67,72.66,72.67,900,0
RFEM.US,5,20250902,183500,72.655,72.6899,72.655,72.655,329,0
RFEM.US,5,20250902,184000,72.68,72.68,72.68,72.68,1000,0
RFEM.US,5,20250902,185000,72.7,72.7,72.7,72.7,200,0
RFEM.US,5,20250902,190000,72.72,72.73,72.72,72.73,1100,0
RFEM.US,5,20250902,191000,72.69,72.69,72.69,72.69,1000,0
RFEM.US,5,20250902,191500,73.44,73.51,73.35,73.35,535,0
RFEM.US,5,20250902,192500,73.37,73.37,73.37,73.37,100,0
RFEM.US,5,20250902,193500,73.4,73.4,73.4,73.4,100,0
RFEM.US,5,20250902,194500,73.41,73.41,73.41,73.41,100,0
RFEM.US,5,20250902,195500,73.4,73.4,73.4,73.4,100,0
RFEM.US,5,20250902,200500,73.36,73.36,73.36,73.36,100,0
RFEM.US,5,20250902,201500,73.33,73.33,73.33,73.33,100,0
RFEM.US,5,20250902,202500,73.32,73.32,73.32,73.32,100,0
RFEM.US,5,20250902,204500,73.28,73.34,73.28,73.3,1797,0
RFEM.US,5,20250902,205500,73.29,73.29,73.29,73.29,100,0
RFEM.US,5,20250902,210500,73.34,73.34,73.34,73.34,100,0
RFEM.US,5,20250902,211500,73.37,73.37,73.37,73.37,100,0
RFEM.US,5,20250902,212500,73.35,73.35,73.35,73.35,100,0
RFEM.US,5,20250902,214500,73.46,73.46,73.46,73.46,100,0
RFEM.US,5,20250902,215000,73.41,73.5,73.41,73.5,200,0
RFEM.US,5,20250902,215500,73.495,73.495,73.495,73.495,200,0
RFEM.US,5,20250903,153000,73.43,73.43,73.29,73.3,500,0
RFEM.US,5,20250903,153500,73.29,73.29,73.29,73.29,100,0
RFEM.US,5,20250903,155000,73.22,73.22,73.22,73.22,100,0
RFEM.US,5,20250903,155500,73.25,73.25,73.25,73.25,142,0
RFEM.US,5,20250903,162000,73.4055,73.4055,73.4055,73.4055,551,0
RFEM.US,5,20250903,165500,73.35,73.35,73.3499,73.3499,372,0
RFEM.US,5,20250903,171500,73.33,73.33,73.33,73.33,100,0
RFEM.US,5,20250903,192000,73.4,73.4,73.3999,73.3999,200,0
RFEM.US,5,20250903,195500,73.31,73.31,73.31,73.31,100,0
RFEM.US,5,20250903,204500,73.2778,73.2778,73.2778,73.2778,146,0
RFEM.US,5,20250903,211000,73.2207,73.2207,73.2207,73.2207,150,0
RFEM.US,5,20250904,164500,73.0848,73.0848,73.0848,73.0848,115,0
RFEM.US,5,20250904,171000,73.1084,73.1084,73.1084,73.1084,111,0
RFEM.US,5,20250904,171500,73.1,73.245,73.0999,73.0999,1100,0
RFEM.US,5,20250904,192500,73.3246,73.3246,73.3246,73.3246,133,0
RFEM.US,5,20250904,211500,73.46,73.46,73.46,73.46,155,0
RFEM.US,5,20250904,212500,73.42,73.42,73.4,73.4,600,0
RFEM.US,5,20250904,213500,73.34,73.34,73.34,73.34,500,0
RFEM.US,5,20250904,214500,73.29,73.29,73.29,73.29,500,0
RFEM.US,5,20250904,215500,73.31,73.31,73.31,73.31,100,0
RFEM.US,5,20250905,153000,74.08,74.11,74.08,74.11,300,0
RFEM.US,5,20250905,170500,73.66,73.66,73.66,73.66,300,0
RFEM.US,5,20250905,171000,73.6985,73.6985,73.6985,73.6985,106,0
RFEM.US,5,20250908,153000,74.31,74.39,74.31,74.39,800,0
RFEM.US,5,20250908,173500,74.48,74.48,74.48,74.48,100,0
RFEM.US,5,20250908,175000,74.49,74.49,74.49,74.49,100,0
RFEM.US,5,20250909,153000,74.83,74.85,74.83,74.85,300,0
RFEM.US,5,20250909,154000,74.92,74.92,74.92,74.92,100,0
RFEM.US,5,20250909,161500,74.97,74.9953,74.97,74.9953,443,0
RFEM.US,5,20250909,194500,75.09,75.09,75.09,75.09,100,0
RFEM.US,5,20250909,200000,75.1,75.1,75.0999,75.0999,200,0
RFEM.US,5,20250909,210500,75.09,75.09,75.09,75.09,585,0
RFEM.US,5,20250910,153000,75.4,75.46,75.4,75.46,900,0
RFEM.US,5,20250910,163500,75.7,75.7,75.6999,75.6999,324,0
RFEM.US,5,20250910,191000,75.71,75.71,75.7099,75.7099,254,0
RFEM.US,5,20250910,205500,75.5827,75.5827,75.5827,75.5827,163,0
RFEM.US,5,20250911,161500,76.075,76.11,76.075,76.11,600,0
RFEM.US,5,20250911,162500,76.01,76.03,76.01,76.03,300,0
RFEM.US,5,20250911,175500,76.28,76.28,76.28,76.28,128,0
RFEM.US,5,20250911,212000,76.34,76.34,76.34,76.34,228,0
RFEM.US,5,20250911,214500,76.35,76.35,76.35,76.35,116,0
RFEM.US,5,20250912,153000,76.04,76.14,76.03,76.14,1200,0
RFEM.US,5,20250915,153000,76.36,76.36,76.36,76.36,200,0
RFEM.US,5,20250915,165000,76.5,76.5,76.5,76.5,103,0
RFEM.US,5,20250915,182000,76.48,76.48,76.48,76.48,442,0
RFEM.US,5,20250916,153000,76.89,76.91,76.89,76.91,300,0
RFEM.US,5,20250916,154000,76.87,76.87,76.8699,76.8699,308,0
RFEM.US,5,20250916,155500,76.815,76.815,76.815,76.815,196,0
RFEM.US,5,20250916,192000,77.0304,77.0304,77.0304,77.0304,149,0
RFEM.US,5,20250916,214000,77.18,77.18,77.18,77.18,209,0
RFEM.US,5,20250916,214500,77.15,77.15,77.15,77.15,168,0
RFEM.US,5,20250917,153000,77.18,77.26,77.18,77.26,985,0
RFEM.US,5,20250917,195500,77.395,77.395,77.395,77.395,130,0
RFEM.US,5,20250917,215500,77.15,77.15,77.15,77.15,110,0
RFEM.US,5,20250918,153000,76.64,76.68,76.64,76.68,500,0
RFEM.US,5,20250918,193500,76.8399,76.84,76.8399,76.84,244,0
RFEM.US,5,20250919,153000,76.77,76.8,76.77,76.8,400,0
RFEM.US,5,20250919,202000,76.84,76.84,76.84,76.84,100,0
RFEM.US,5,20250922,160500,76.665,76.665,76.665,76.665,116,0
RFEM.US,5,20250922,174000,76.67,76.67,76.67,76.67,288,0
RFEM.US,5,20250922,194500,76.95,76.95,76.95,76.95,100,0
RFEM.US,5,20250922,195500,76.9499,76.95,76.9499,76.95,200,0
RFEM.US,5,20250922,200000,76.9112,76.9112,76.9112,76.9112,140,0
RFEM.US,5,20250922,203500,76.97,76.97,76.97,76.97,122,0
RFEM.US,5,20250922,211500,76.955,76.955,76.955,76.955,111,0
RFEM.US,5,20250923,161000,77.12,77.12,77.12,77.12,100,0
RFEM.US,5,20250924,153000,76.63,76.63,76.63,76.63,100,0
RFEM.US,5,20250924,154500,76.54,76.54,76.54,76.54,200,0
RFEM.US,5,20250924,155000,76.52,76.52,76.52,76.52,200,0
RFEM.US,5,20250924,155500,76.54,76.54,76.54,76.54,100,0
RFEM.US,5,20250924,160500,76.62,76.62,76.62,76.62,100,0
RFEM.US,5,20250924,161500,76.67,76.67,76.67,76.67,100,0
RFEM.US,5,20250924,162500,76.71,76.71,76.71,76.71,100,0
RFEM.US,5,20250924,163500,76.73,76.73,76.73,76.73,100,0
RFEM.US,5,20250924,172000,76.73,76.73,76.73,76.73,100,0
RFEM.US,5,20250924,173500,76.69,76.69,76.6899,76.6899,200,0
RFEM.US,5,20250924,182000,76.53,76.53,76.53,76.53,100,0
RFEM.US,5,20250924,184500,76.52,76.53,76.52,76.53,400,0
RFEM.US,5,20250924,185500,76.52,76.52,76.52,76.52,100,0
RFEM.US,5,20250924,193000,76.59,76.59,76.59,76.59,100,0
RFEM.US,5,20250924,203000,76.5655,76.5655,76.5655,76.5655,194,0
RFEM.US,5,20250924,210500,76.55,76.55,76.55,76.55,100,0
RFEM.US,5,20250925,153000,75.2,75.2,75.19,75.19,200,0
RFEM.US,5,20250925,154000,75.05,75.05,75.05,75.05,100,0
RFEM.US,5,20250925,163500,75.165,75.165,75.165,75.165,110,0
RFEM.US,5,20250925,165500,75.15,75.2,75.15,75.2,566,0
RFEM.US,5,20250925,174000,75.32,75.32,75.32,75.32,126,0
RFEM.US,5,20250925,184500,75.235,75.235,75.235,75.235,115,0
RFEM.US,5,20250925,195500,75.1406,75.36,75.1406,75.15,494,0
RFEM.US,5,20250925,201500,75.0834,75.0834,75.0834,75.0834,100,0
RFEM.US,5,20250925,212500,75.2,75.2,75.2,75.2,154,0
RFEM.US,5,20250926,153000,74.64,74.64,74.64,74.64,100,0
RFEM.US,5,20250926,164500,74.66,74.66,74.66,74.66,100,0
RFEM.US,5,20250926,165500,74.71,74.71,74.71,74.71,100,0
RFEM.US,5,20250926,170500,74.72,74.72,74.72,74.72,100,0
RFEM.US,5,20250929,153000,75.56,75.66,75.56,75.66,425,0
RFEM.US,5,20250929,154000,75.74,75.74,75.74,75.74,100,0
RFEM.US,5,20250929,162500,75.6766,75.6766,75.6766,75.6766,200,0
RFEM.US,5,20250929,200000,75.53,75.53,75.53,75.53,178,0
RFEM.US,5,20250930,153000,75.57,75.61,75.57,75.61,500,0
RFEM.US,5,20250930,154500,75.78,75.78,75.78,75.78,100,0
RFEM.US,5,20251001,153000,76.1,76.1,76.1,76.1,100,0
RFEM.US,5,20251001,191000,76.3355,76.3355,76.3355,76.3355,197,0
RFEM.US,5,20251001,215000,76.4466,76.4466,76.4466,76.4466,234,0
RFEM.US,5,20251002,153000,76.73,76.75,76.73,76.75,500,0
RFEM.US,5,20251002,215000,76.5,76.5,76.5,76.5,200,0
RFEM.US,5,20251003,153000,76.96,76.96,76.96,76.96,100,0
RFEM.US,5,20251003,170500,76.92,76.92,76.92,76.92,100,0
RFEM.US,5,20251003,171500,76.94,76.94,76.94,76.94,100,0
RFEM.US,5,20251003,173000,76.94,76.94,76.94,76.94,200,0
RFEM.US,5,20251003,192500,76.89,76.89,76.87,76.89,500,0
RFEM.US,5,20251003,193500,76.9,76.9,76.9,76.9,100,0
RFEM.US,5,20251003,202000,76.77,76.77,76.77,76.77,100,0
RFEM.US,5,20251006,153000,76.7,76.81,76.7,76.81,1200,0
RFEM.US,5,20251006,170500,77.1,77.1,77.1,77.1,400,0
RFEM.US,5,20251006,183500,77.07,77.07,77.07,77.07,400,0
RFEM.US,5,20251006,214000,77.08,77.08,77.08,77.08,372,0
RFEM.US,5,20251006,214500,77.1,77.1,77.1,77.1,3479,0
RFEM.US,5,20251006,215500,77.14,77.14,77.14,77.14,100,0
RFEM.US,5,20251007,153000,77.26,77.26,77.26,77.26,200,0
RFEM.US,5,20251007,162500,76.9845,76.9845,76.9845,76.9845,112,0
RFEM.US,5,20251007,173500,76.75,76.75,76.75,76.75,100,0
RFEM.US,5,20251007,174000,76.74,76.74,76.7399,76.7399,236,0
RFEM.US,5,20251007,201500,76.61,76.61,76.61,76.61,500,0
RFEM.US,5,20251007,202000,76.61,76.61,76.61,76.61,100,0
RFEM.US,5,20251007,210500,76.61,76.64,76.61,76.64,1200,0
RFEM.US,5,20251007,213000,76.63,76.92,76.59,76.85,1400,0
RFEM.US,5,20251007,214000,76.67,76.67,76.67,76.67,2300,0
RFEM.US,5,20251007,214500,76.7,76.73,76.7,76.73,1100,0
RFEM.US,5,20251007,215500,76.76,76.76,76.75,76.75,200,0
RFEM.US,5,20251008,153000,76.77,76.77,76.77,76.77,170,0
RFEM.US,5,20251008,155500,76.76,76.79,76.76,76.79,500,0
RFEM.US,5,20251008,190000,77.0399,77.04,77.0399,77.04,334,0
RFEM.US,5,20251008,215000,77.09,77.09,77.09,77.09,957,0
RFEM.US,5,20251009,160500,77.24,77.31,76.95,77.05,1000,0
RFEM.US,5,20251009,161500,76.9312,76.9312,76.9312,76.9312,135,0
RFEM.US,5,20251009,165500,76.72,76.72,76.72,76.72,145,0
RFEM.US,5,20251009,182500,76.67,76.67,76.67,76.67,100,0
RFEM.US,5,20251009,184000,76.58,76.58,76.58,76.58,100,0
RFEM.US,5,20251009,214500,76.58,76.58,76.58,76.58,494,0
RFEM.US,5,20251010,171000,75.71,75.71,75.71,75.71,100,0
RFEM.US,5,20251010,172500,75.11,75.11,75.11,75.11,100,0
RFEM.US,5,20251010,174000,74.7,74.7,74.7,74.7,100,0
RFEM.US,5,20251010,180000,74.77,74.77,74.77,74.77,100,0
RFEM.US,5,20251010,190000,74.24,74.24,74.24,74.24,100,0
RFEM.US,5,20251010,191000,74.19,74.19,74.19,74.19,100,0
RFEM.US,5,20251010,200000,74.195,74.195,74.195,74.195,270,0
RFEM.US,5,20251010,205000,74.02,74.02,74.02,74.02,100,0
RFEM.US,5,20251010,213500,73.81,73.81,73.81,73.81,182,0
RFEM.US,5,20251010,215000,74.01,74.01,74.01,74.01,100,0
RFEM.US,5,20251013,153000,75.57,75.74,75.57,75.74,200,0
RFEM.US,5,20251013,155000,75.67,75.67,75.67,75.67,100,0
RFEM.US,5,20251013,160000,75.92,75.92,75.92,75.92,100,0
RFEM.US,5,20251013,161000,75.89,75.89,75.89,75.89,100,0
RFEM.US,5,20251013,163500,76.02,76.02,76.02,76.02,100,0
RFEM.US,5,20251013,170500,75.9,75.9,75.9,75.9,100,0
RFEM.US,5,20251013,171500,76.06,76.06,76.06,76.06,100,0
RFEM.US,5,20251013,172500,76.08,76.08,76.08,76.08,100,0
RFEM.US,5,20251013,193500,76.07,76.07,76.07,76.07,200,0
RFEM.US,5,20251014,161000,75.1,75.1,75.1,75.1,100,0
RFEM.US,5,20251014,162000,75.26,75.26,75.26,75.26,100,0
RFEM.US,5,20251014,195500,75.73,75.73,75.73,75.73,236,0
RFEM.US,5,20251014,214500,75.42,75.42,75.42,75.42,396,0
RFEM.US,5,20251015,153000,76.8,76.8,76.8,76.8,100,0
RFEM.US,5,20251015,155000,76.71,76.71,76.71,76.71,100,0
RFEM.US,5,20251015,213000,76.8,76.8,76.8,76.8,100,0
RFEM.US,5,20251016,153000,77.17,77.17,76.98,76.98,889,0
RFEM.US,5,20251016,164000,77.31,77.31,77.31,77.31,207,0
RFEM.US,5,20251016,173500,77.25,77.25,77.25,77.25,100,0
RFEM.US,5,20251016,213500,76.87,76.87,76.87,76.87,190,0
RFEM.US,5,20251016,215500,76.91,76.96,76.91,76.96,235,0
RFEM.US,5,20251020,162500,77.72,77.72,77.72,77.72,100,0
RFEM.US,5,20251020,210500,77.9902,77.9902,77.99,77.99,620,0
