<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CKX.US,5,20250905,163500,11.3601,11.873,11.3601,11.873,2001,0
CKX.US,5,20250905,164000,11.8095,11.8095,11.55,11.8095,700,0
CKX.US,5,20250908,191000,11.24,11.24,11.22,11.22,234,0
CKX.US,5,20250908,202000,11.7,11.7,11.7,11.7,100,0
CKX.US,5,20250909,154500,12.0144,12.0144,11.7,11.7,378,0
CKX.US,5,20250909,204000,11.35,11.35,11.35,11.35,100,0
CKX.US,5,20250909,214000,11.255,11.29,11.255,11.29,300,0
CKX.US,5,20250910,154000,11.3269,11.3269,11.2001,11.2001,206,0
CKX.US,5,20250910,155500,11.2,11.3,11.2,11.2,673,0
CKX.US,5,20250910,164500,11.2,11.21,11.2,11.21,400,0
CKX.US,5,20250910,193000,11.11,11.11,11.11,11.11,200,0
CKX.US,5,20250910,194000,11.05,11.1,11.05,11.1,2723,0
CKX.US,5,20250911,200000,11.2275,11.2275,11.2275,11.2275,100,0
CKX.US,5,20250912,171500,11.47,11.788,11.47,11.788,200,0
CKX.US,5,20250912,191500,11.2238,11.2238,11.2238,11.2238,100,0
CKX.US,5,20250912,204000,11.15,11.15,11.15,11.15,300,0
CKX.US,5,20250912,204500,11.1,11.1,11.1,11.1,4573,0
CKX.US,5,20250912,205000,11.1,11.1,11.1,11.1,1108,0
CKX.US,5,20250915,164000,11.39,11.39,11.39,11.39,1200,0
CKX.US,5,20250915,214000,11.3,11.3,11.3,11.3,161,0
CKX.US,5,20250917,155000,11.3,11.3,11.3,11.3,100,0
CKX.US,5,20250917,175000,11.185,11.185,11.185,11.185,196,0
CKX.US,5,20250917,215000,11.3,11.32,11.3,11.32,305,0
CKX.US,5,20250917,215500,11.15,11.15,11.15,11.15,533,0
CKX.US,5,20250919,170500,11.69,11.69,11.69,11.69,100,0
CKX.US,5,20250919,215500,11.7,11.7,11.7,11.7,830,0
CKX.US,5,20250922,165500,11.4855,11.4855,11.4855,11.4855,203,0
CKX.US,5,20250922,201500,11.64,11.64,11.64,11.64,100,0
CKX.US,5,20250924,180000,11.6138,11.6138,11.6138,11.6138,800,0
CKX.US,5,20250925,171500,11.474,11.474,11.474,11.474,1364,0
CKX.US,5,20250929,193000,11.3,11.31,11.3,11.3,400,0
CKX.US,5,20250930,213500,11.2768,11.2768,11.2768,11.2768,339,0
CKX.US,5,20250930,215000,11.14,11.14,11.14,11.14,265,0
CKX.US,5,20251001,190500,11.06,11.2726,11.05,11.05,2324,0
CKX.US,5,20251001,191000,11.0325,11.0325,11.0325,11.0325,305,0
CKX.US,5,20251001,192000,11,11.05,11,11.05,458,0
CKX.US,5,20251001,202000,11.05,11.05,11.04,11.05,700,0
CKX.US,5,20251002,160000,11.1,11.1,10.96,11.05,1331,0
CKX.US,5,20251002,160500,11,11,11,11,200,0
CKX.US,5,20251003,154000,11,11,11,11,200,0
CKX.US,5,20251003,155000,11,11,11,11,119,0
CKX.US,5,20251006,165500,11.22,11.22,10.8,10.83,1651,0
CKX.US,5,20251006,174000,10.85,10.85,10.85,10.85,100,0
CKX.US,5,20251006,203500,10.76,10.76,10.75,10.75,200,0
CKX.US,5,20251006,205500,11.4,11.4,11.4,11.4,100,0
CKX.US,5,20251006,214500,10.85,10.85,10.85,10.85,100,0
CKX.US,5,20251007,193500,10.9,11.0277,10.74,10.875,1357,0
CKX.US,5,20251007,204500,10.8,10.8,10.8,10.8,300,0
CKX.US,5,20251007,205000,10.9,10.9,10.89,10.9,1355,0
CKX.US,5,20251007,212500,10.9,10.9,10.85,10.9,900,0
CKX.US,5,20251007,213000,10.875,10.9,10.85,10.9,1246,0
CKX.US,5,20251008,153000,10.96,10.96,10.96,10.96,100,0
CKX.US,5,20251008,154500,10.96,10.96,10.96,10.96,200,0
CKX.US,5,20251009,164000,10.96,10.96,10.96,10.96,100,0
CKX.US,5,20251010,215000,10.96,10.96,10.96,10.96,298,0
CKX.US,5,20251013,170500,10.96,10.9601,10.55,10.55,5218,0
CKX.US,5,20251013,172000,10.56,10.56,10.56,10.56,200,0
CKX.US,5,20251013,193500,10.6,10.6,10.6,10.6,100,0
CKX.US,5,20251013,195500,10.6,10.6,10.6,10.6,100,0
CKX.US,5,20251013,201500,10.6,10.6,10.6,10.6,100,0
CKX.US,5,20251013,215000,10.67,10.67,10.66,10.66,400,0
CKX.US,5,20251013,215500,10.67,10.67,10.63,10.63,500,0
CKX.US,5,20251015,153000,10.58,10.58,10.58,10.58,100,0
CKX.US,5,20251015,190500,10.9872,10.9872,10.6277,10.6277,2000,0
CKX.US,5,20251015,215000,10.67,10.67,10.67,10.67,100,0
CKX.US,5,20251020,215000,10.7,10.7,10.7,10.7,100,0
CKX.US,5,20251021,153000,10.6,10.6,10.6,10.6,100,0
CKX.US,5,20251022,201500,10.65,10.65,10.65,10.65,200,0
CKX.US,5,20251024,185500,10.58,10.58,10.58,10.58,148,0
CKX.US,5,20251024,200500,10.8604,10.8604,10.8604,10.8604,101,0
CKX.US,5,20251024,203500,10.7,10.925,10.7,10.7,1000,0
CKX.US,5,20251024,210500,10.71,10.71,10.71,10.71,213,0
CKX.US,5,20251024,215000,10.75,10.75,10.75,10.75,100,0
CKX.US,5,20251027,160500,10.76,10.76,10.75,10.75,300,0
CKX.US,5,20251027,163500,10.7114,10.7114,10.7114,10.7114,100,0
CKX.US,5,20251028,181500,10.58,10.58,10.58,10.58,100,0
CKX.US,5,20251028,182000,10.555,10.555,10.555,10.555,400,0
CKX.US,5,20251028,190000,10.7,10.7,10.7,10.7,100,0
CKX.US,5,20251028,205500,10.55,10.55,10.55,10.55,100,0
CKX.US,5,20251029,174500,10.51,10.51,10.51,10.51,600,0
CKX.US,5,20251029,180500,10.524,10.524,10.524,10.524,100,0
CKX.US,5,20251029,194000,10.51,10.51,10.51,10.51,181,0
CKX.US,5,20251029,205000,10.51,10.51,10.51,10.51,100,0
CKX.US,5,20251104,194500,10.51,10.51,10.51,10.51,100,0
CKX.US,5,20251104,215000,10.47,10.47,10.47,10.47,201,0
CKX.US,5,20251104,215500,10.15,10.15,10.15,10.15,100,0
CKX.US,5,20251105,161500,10.5,10.5,10.5,10.5,178,0
CKX.US,5,20251106,181000,10.47,10.47,10.47,10.47,236,0
CKX.US,5,20251106,213500,10.5999,10.5999,10.5999,10.5999,100,0
CKX.US,5,20251106,214000,10.5999,10.5999,10.5999,10.5999,200,0
CKX.US,5,20251110,153500,10.6,10.6,10.6,10.6,200,0
CKX.US,5,20251110,192500,10.6,10.6,10.5,10.5,431,0
CKX.US,5,20251110,194500,10.3,10.3,10.3,10.3,445,0
CKX.US,5,20251110,201000,10.3,10.5,10.3,10.35,3179,0
CKX.US,5,20251110,201500,10.3,10.5,10.3,10.3,1800,0
CKX.US,5,20251110,215000,10.32,10.8754,10.32,10.8754,571,0
CKX.US,5,20251111,153000,10.335,10.335,10.335,10.335,100,0
CKX.US,5,20251111,163000,10.3,10.3,10.3,10.3,100,0
CKX.US,5,20251112,201500,10.31,10.31,10.31,10.31,100,0
CKX.US,5,20251114,155500,10.23,10.23,10.21,10.21,1702,0
CKX.US,5,20251114,165500,10.325,10.35,10.325,10.35,200,0
CKX.US,5,20251114,172500,10.325,10.325,10.325,10.325,200,0
CKX.US,5,20251117,215500,10.3,10.3,10.3,10.3,141,0
CKX.US,5,20251119,205500,10.3,10.3,10.3,10.3,183,0
CKX.US,5,20251119,210500,10.234,10.234,10.234,10.234,100,0
CKX.US,5,20251119,211500,10.234,10.29,10.234,10.29,200,0
CKX.US,5,20251119,214500,10.24,10.25,10.24,10.25,200,0
CKX.US,5,20251119,215000,10.2,10.2,10.18,10.18,366,0
CKX.US,5,20251119,215500,10.18,10.18,10.18,10.18,200,0
CKX.US,5,20251120,193500,10.21,10.21,10.205,10.205,200,0
CKX.US,5,20251120,211500,10.2,10.2,10.2,10.2,101,0
CKX.US,5,20251125,200500,10.21,10.21,10.16,10.1922,1903,0
CKX.US,5,20251125,204500,10.15,10.15,10.1,10.1,859,0
CKX.US,5,20251126,173500,10.39,10.39,10.39,10.39,500,0
CKX.US,5,20251126,181500,10.2,10.2,9.81,9.81,5000,0
CKX.US,5,20251126,182000,9.2,9.2,9.1,9.1,938,0
CKX.US,5,20251126,183500,9.95,9.95,9.95,9.95,100,0
CKX.US,5,20251126,203000,9.7507,9.765,9.7507,9.765,200,0
CKX.US,5,20251126,215500,9.43,9.43,9.43,9.43,247,0
CKX.US,5,20251128,153500,8.6601,9.19,8.6601,9.19,498,0
CKX.US,5,20251128,160500,10,10,10,10,100,0
CKX.US,5,20251128,171500,9.4752,9.4752,9.4752,9.4752,100,0
CKX.US,5,20251201,153000,9.75,9.75,9.75,9.75,155,0
CKX.US,5,20251201,153500,9.5163,9.5163,9.5163,9.5163,500,0
CKX.US,5,20251201,154000,9.565,9.565,9.565,9.565,500,0
CKX.US,5,20251201,160000,9.84,9.84,9.84,9.84,100,0
CKX.US,5,20251201,164000,9.55,9.55,9.55,9.55,100,0
CKX.US,5,20251201,171000,9.7,9.7,9.7,9.7,100,0
CKX.US,5,20251201,174000,9.7,9.7,9.7,9.7,100,0
CKX.US,5,20251201,214000,9.8291,9.8291,9.8291,9.8291,100,0
CKX.US,5,20251203,185500,9.85,9.97,9.85,9.97,200,0
CKX.US,5,20251203,215500,10.45,10.45,10.45,10.45,209,0
CKX.US,5,20251204,153000,9.85,9.8501,9.45,9.45,1286,0
CKX.US,5,20251204,162500,9.7045,9.7045,9.7045,9.7045,100,0
CKX.US,5,20251204,170500,10.05,10.05,9.9095,10.05,300,0
CKX.US,5,20251204,191000,9.51,9.63,9.26,9.26,3126,0
CKX.US,5,20251204,192500,9.6,9.6,9.6,9.6,100,0
CKX.US,5,20251204,193000,9.55,9.55,9.55,9.55,100,0
CKX.US,5,20251204,205500,9.529,9.55,9.529,9.55,200,0
CKX.US,5,20251204,213500,9.6,9.6,9.6,9.6,100,0
CKX.US,5,20251204,214500,9.6,9.6,9.6,9.6,100,0
CKX.US,5,20251204,215500,9.66,9.67,9.66,9.67,200,0
CKX.US,5,20251205,201000,9.67,9.67,9.67,9.67,100,0
CKX.US,5,20251205,204000,9.67,9.67,9.67,9.67,200,0
CKX.US,5,20251205,204500,9.7,9.7,9.7,9.7,100,0
CKX.US,5,20251209,205500,9.51,9.51,9.51,9.51,190,0
CKX.US,5,20251209,213500,9.435,9.435,9.435,9.435,100,0
CKX.US,5,20251209,215500,9.435,9.4441,9.435,9.4441,200,0
CKX.US,5,20251210,161500,9.5107,9.5107,9.5107,9.5107,100,0
CKX.US,5,20251210,163000,9.4447,9.4447,9.4447,9.4447,100,0
CKX.US,5,20251210,164500,9.435,9.435,9.435,9.435,100,0
CKX.US,5,20251210,165000,9.3,9.3,9.3,9.3,100,0
CKX.US,5,20251210,181500,9.45,9.45,9.45,9.45,100,0
CKX.US,5,20251210,185500,9.31,9.31,9.31,9.31,100,0
CKX.US,5,20251210,190000,9.4558,9.4558,9.31,9.31,1550,0
CKX.US,5,20251210,215500,9.54,9.56,9.3,9.4084,1384,0
CKX.US,5,20251211,155000,9.3777,9.3777,9.3777,9.3777,100,0
CKX.US,5,20251211,160000,9.27,9.27,9.26,9.26,732,0
CKX.US,5,20251211,160500,9.1525,9.1525,9.1525,9.1525,100,0
CKX.US,5,20251211,162000,9.28,9.28,9.28,9.28,100,0
CKX.US,5,20251211,190500,9.3,9.3,9.3,9.3,100,0
CKX.US,5,20251211,192000,9.3,9.3,9.3,9.3,100,0
CKX.US,5,20251211,201000,9.3835,9.3835,9.3835,9.3835,100,0
CKX.US,5,20251211,205500,9.38,9.38,9.38,9.38,100,0
CKX.US,5,20251211,211000,9.3837,9.3837,9.3837,9.3837,100,0
CKX.US,5,20251212,193500,9.3,9.3504,9.3,9.3504,200,0
CKX.US,5,20251212,194000,9.35,9.35,9.35,9.35,100,0
CKX.US,5,20251212,200000,9.4363,9.4363,9.4363,9.4363,100,0
CKX.US,5,20251212,215500,9.35,9.35,9.35,9.35,400,0
CKX.US,5,20251215,215000,9.59,9.59,9.42,9.42,296,0
CKX.US,5,20251215,215500,9.59,9.59,9.59,9.59,341,0
CKX.US,5,20251216,162000,9.35,9.35,9.35,9.35,100,0
CKX.US,5,20251216,163500,9.4474,9.4474,9.4474,9.4474,100,0
CKX.US,5,20251216,214500,9.3896,9.3896,9.3896,9.3896,100,0
CKX.US,5,20251216,215500,9.67,9.67,9.67,9.67,244,0
CKX.US,5,20251217,153000,9.44,9.44,9.44,9.44,100,0
CKX.US,5,20251217,164000,9.3,9.3,9.3,9.3,100,0
CKX.US,5,20251217,164500,9.35,9.363,9.3201,9.363,600,0
CKX.US,5,20251217,175500,9.3,9.3,9.3,9.3,699,0
CKX.US,5,20251217,182500,9.32,9.32,9.32,9.32,100,0
CKX.US,5,20251217,215500,9.26,9.44,9.26,9.44,418,0
CKX.US,5,20251219,165000,9.345,9.345,9.345,9.345,178,0
CKX.US,5,20251219,200000,9.145,9.145,9.145,9.145,100,0
CKX.US,5,20251219,203000,9.16,9.16,9.16,9.16,100,0
CKX.US,5,20251219,203500,9.06,9.06,9.06,9.06,100,0
CKX.US,5,20251219,204500,9.035,9.035,9.035,9.035,200,0
CKX.US,5,20251219,210000,9.04,9.04,9.04,9.04,100,0
CKX.US,5,20251219,210500,9.1019,9.14,9.1019,9.14,200,0
CKX.US,5,20251219,211000,9.06,9.06,9.06,9.06,100,0
CKX.US,5,20251219,211500,9.135,9.135,9.135,9.135,100,0
CKX.US,5,20251222,164000,9.4687,9.4687,9.4687,9.4687,100,0
