<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TECTP.US,5,20250805,171500,10.895,10.895,10.895,10.895,100,0
TECTP.US,5,20250805,175500,10.83,10.83,10.83,10.83,2900,0
TECTP.US,5,20250805,180500,10.8,10.83,10.8,10.83,409,0
TECTP.US,5,20250805,181500,10.82,10.82,10.82,10.82,100,0
TECTP.US,5,20250805,214000,10.8224,10.8224,10.8224,10.8224,100,0
TECTP.US,5,20250805,215500,10.81,10.81,10.81,10.81,100,0
TECTP.US,5,20250806,170500,10.62,10.62,10.6,10.6001,2197,0
TECTP.US,5,20250806,181000,10.79,10.79,10.79,10.79,100,0
TECTP.US,5,20250806,181500,10.62,10.79,10.61,10.79,2800,0
TECTP.US,5,20250806,182500,10.745,10.7957,10.745,10.7957,1500,0
TECTP.US,5,20250806,183000,10.77,10.77,10.6993,10.6993,285,0
TECTP.US,5,20250806,190500,10.63,10.63,10.63,10.63,100,0
TECTP.US,5,20250806,191000,10.8027,10.9,10.61,10.9,4490,0
TECTP.US,5,20250806,200000,10.78,10.78,10.75,10.75,500,0
TECTP.US,5,20250806,204500,10.64,10.641,10.64,10.64,3274,0
TECTP.US,5,20250806,211500,10.7,10.7,10.61,10.61,400,0
TECTP.US,5,20250806,212000,10.65,10.65,10.65,10.65,500,0
TECTP.US,5,20250806,215000,10.76,10.76,10.76,10.76,210,0
TECTP.US,5,20250807,173000,10.73,10.73,10.73,10.73,800,0
TECTP.US,5,20250807,182500,10.78,10.78,10.78,10.78,100,0
TECTP.US,5,20250807,183000,10.7966,10.7966,10.7966,10.7966,1200,0
TECTP.US,5,20250807,193000,11.0393,11.0393,11.0393,11.0393,1700,0
TECTP.US,5,20250807,202000,10.85,10.85,10.85,10.85,1000,0
TECTP.US,5,20250807,205000,10.76,10.76,10.76,10.76,100,0
TECTP.US,5,20250807,210500,10.7,10.7,10.65,10.65,1821,0
TECTP.US,5,20250807,215000,10.96,10.96,10.96,10.96,100,0
TECTP.US,5,20250808,211500,10.78,10.8,10.78,10.78,2196,0
TECTP.US,5,20250808,212000,10.86,10.86,10.86,10.86,500,0
TECTP.US,5,20250808,212500,10.89,10.89,10.89,10.89,162,0
TECTP.US,5,20250808,213000,10.86,10.86,10.86,10.86,100,0
TECTP.US,5,20250808,215500,10.83,10.83,10.83,10.83,230,0
TECTP.US,5,20250811,194500,10.8408,10.8408,10.805,10.805,200,0
TECTP.US,5,20250811,200500,10.85,10.85,10.85,10.85,611,0
TECTP.US,5,20250811,215500,10.81,10.81,10.81,10.81,100,0
TECTP.US,5,20250812,172500,10.835,10.835,10.835,10.835,100,0
TECTP.US,5,20250812,185000,10.76,10.77,10.75,10.75,1082,0
TECTP.US,5,20250812,195000,10.7515,10.7515,10.7515,10.7515,100,0
TECTP.US,5,20250812,214000,10.8047,10.8047,10.75,10.8047,13290,0
TECTP.US,5,20250813,202500,10.78,10.78,10.78,10.78,1469,0
TECTP.US,5,20250814,153000,10.9,10.9,10.9,10.9,116,0
TECTP.US,5,20250814,173000,10.89,10.89,10.89,10.89,100,0
TECTP.US,5,20250814,203500,10.75,10.7502,10.75,10.7502,7920,0
TECTP.US,5,20250814,204000,10.75,10.75,10.75,10.75,100,0
TECTP.US,5,20250814,215500,10.75,10.75,10.75,10.75,600,0
TECTP.US,5,20250815,153000,10.78,10.78,10.78,10.78,374,0
TECTP.US,5,20250815,155000,10.75,10.75,10.75,10.75,699,0
TECTP.US,5,20250815,160000,10.7353,10.7353,10.7353,10.7353,636,0
TECTP.US,5,20250815,174500,10.6835,10.6835,10.6835,10.6835,8600,0
TECTP.US,5,20250815,185500,10.7432,10.75,10.7432,10.75,300,0
TECTP.US,5,20250818,160000,10.76,10.76,10.76,10.76,100,0
TECTP.US,5,20250818,162000,10.65,10.65,10.65,10.65,300,0
TECTP.US,5,20250818,200500,10.76,10.8999,10.76,10.78,8857,0
TECTP.US,5,20250818,201000,10.8392,10.8392,10.8392,10.8392,1000,0
TECTP.US,5,20250818,204000,10.8999,10.8999,10.795,10.795,200,0
TECTP.US,5,20250819,164500,10.81,10.81,10.81,10.81,500,0
TECTP.US,5,20250819,212500,10.76,10.77,10.76,10.77,700,0
TECTP.US,5,20250820,153000,10.71,10.71,10.71,10.71,400,0
TECTP.US,5,20250820,154500,10.71,10.71,10.71,10.71,100,0
TECTP.US,5,20250820,185500,10.6807,10.6807,10.6807,10.6807,5500,0
TECTP.US,5,20250821,160000,10.75,10.75,10.75,10.75,100,0
TECTP.US,5,20250822,160000,10.75,10.75,10.75,10.75,100,0
TECTP.US,5,20250822,205000,10.7522,10.7522,10.7522,10.7522,205,0
TECTP.US,5,20250825,181000,10.71,10.71,10.71,10.71,245,0
TECTP.US,5,20250825,191000,10.67,10.76,10.67,10.76,1800,0
TECTP.US,5,20250825,192500,10.715,10.7599,10.715,10.7599,200,0
TECTP.US,5,20250826,210500,10.76,10.76,10.76,10.76,202,0
TECTP.US,5,20250826,213500,10.8885,10.8885,10.8885,10.8885,500,0
TECTP.US,5,20250826,214000,10.78,10.78,10.73,10.73,200,0
TECTP.US,5,20250826,214500,10.72,10.72,10.72,10.72,100,0
TECTP.US,5,20250826,215000,10.8999,10.8999,10.8999,10.8999,500,0
TECTP.US,5,20250826,215500,10.7,10.7,10.7,10.7,200,0
TECTP.US,5,20250827,213000,10.7326,10.7326,10.7326,10.7326,2000,0
TECTP.US,5,20250827,213500,10.75,10.75,10.7499,10.7499,200,0
TECTP.US,5,20250828,181500,10.7589,10.7589,10.7589,10.7589,200,0
TECTP.US,5,20250828,184500,10.76,10.795,10.76,10.795,325,0
TECTP.US,5,20250828,200000,10.78,10.78,10.78,10.78,300,0
TECTP.US,5,20250828,205000,10.77,10.77,10.77,10.77,200,0
TECTP.US,5,20250828,215000,10.77,10.77,10.77,10.77,200,0
TECTP.US,5,20250828,215500,10.77,10.7736,10.76,10.76,6090,0
TECTP.US,5,20250903,200000,10.68,10.6801,10.66,10.6701,1241,0
TECTP.US,5,20250908,160000,10.72,10.72,10.72,10.72,2100,0
TECTP.US,5,20250908,160500,10.72,10.72,10.72,10.72,2496,0
TECTP.US,5,20250908,162500,10.72,10.72,10.72,10.72,100,0
TECTP.US,5,20250908,192500,10.72,10.72,10.72,10.72,100,0
TECTP.US,5,20250908,193000,10.845,10.845,10.7,10.7,1780,0
TECTP.US,5,20250909,162500,10.85,10.85,10.85,10.85,1049,0
TECTP.US,5,20250909,164500,10.8395,10.8395,10.8395,10.8395,230,0
TECTP.US,5,20250909,211000,10.81,10.81,10.81,10.81,100,0
TECTP.US,5,20250910,201000,10.845,10.845,10.845,10.845,500,0
TECTP.US,5,20250915,155500,10.9126,10.9126,10.9126,10.9126,100,0
TECTP.US,5,20250916,200000,10.75,10.75,10.75,10.75,100,0
TECTP.US,5,20250917,190500,10.855,10.855,10.855,10.855,350,0
TECTP.US,5,20250917,200000,10.8,10.8,10.8,10.8,100,0
TECTP.US,5,20250917,204000,10.9,10.9,10.9,10.9,200,0
TECTP.US,5,20250917,205500,10.8,10.8,10.8,10.8,300,0
TECTP.US,5,20250918,154000,10.9651,10.9651,10.9651,10.9651,900,0
TECTP.US,5,20250918,213000,10.91,10.91,10.91,10.91,700,0
TECTP.US,5,20250919,163000,10.79,10.79,10.79,10.79,100,0
TECTP.US,5,20250922,163000,10.79,10.79,10.79,10.79,100,0
TECTP.US,5,20250924,163500,10.825,10.825,10.825,10.825,500,0
TECTP.US,5,20250924,185000,10.85,10.85,10.85,10.85,195,0
TECTP.US,5,20250925,155500,10.843,10.843,10.843,10.843,1500,0
TECTP.US,5,20250925,184000,10.85,10.85,10.85,10.85,100,0
TECTP.US,5,20250929,153000,10.84,10.84,10.84,10.84,1000,0
TECTP.US,5,20250929,155500,10.9,10.9,10.9,10.9,100,0
TECTP.US,5,20250930,153000,10.72,10.85,10.72,10.85,1350,0
TECTP.US,5,20250930,162000,10.87,10.87,10.85,10.85,663,0
TECTP.US,5,20250930,181500,10.84,10.84,10.76,10.76,1707,0
TECTP.US,5,20250930,184000,10.74,10.74,10.6,10.6,2100,0
TECTP.US,5,20250930,184500,10.51,10.51,10.51,10.51,101,0
TECTP.US,5,20250930,194000,10.6523,10.7759,10.65,10.65,3019,0
TECTP.US,5,20250930,194500,10.52,10.715,10.52,10.715,1542,0
TECTP.US,5,20250930,200000,10.71,10.71,10.71,10.71,200,0
TECTP.US,5,20250930,213500,10.84,10.84,10.84,10.84,200,0
TECTP.US,5,20250930,215500,10.84,10.84,10.84,10.84,100,0
TECTP.US,5,20251001,155500,10.84,10.84,10.52,10.52,5326,0
TECTP.US,5,20251001,160000,10.7697,10.7697,10.7697,10.7697,400,0
TECTP.US,5,20251002,153000,10.64,10.72,10.64,10.72,1239,0
TECTP.US,5,20251002,160500,10.7404,10.7404,10.7404,10.7404,700,0
TECTP.US,5,20251002,180500,10.8564,10.8564,10.8564,10.8564,1000,0
TECTP.US,5,20251006,193000,10.75,10.75,10.75,10.75,100,0
TECTP.US,5,20251007,161000,10.75,11,10.75,11,733,0
TECTP.US,5,20251007,164000,10.8662,10.8662,10.8662,10.8662,160,0
TECTP.US,5,20251007,174000,10.76,10.76,10.76,10.76,100,0
TECTP.US,5,20251008,193500,10.78,10.78,10.78,10.78,100,0
TECTP.US,5,20251008,194000,10.75,10.75,10.75,10.75,100,0
TECTP.US,5,20251008,194500,10.7538,10.7538,10.7538,10.7538,364,0
TECTP.US,5,20251008,195000,10.75,10.75,10.75,10.75,200,0
TECTP.US,5,20251009,161000,10.875,10.875,10.875,10.875,910,0
TECTP.US,5,20251009,193500,10.75,10.75,10.75,10.75,100,0
TECTP.US,5,20251009,200500,10.8,10.8,10.8,10.8,100,0
TECTP.US,5,20251010,173500,10.97,10.97,10.97,10.97,100,0
TECTP.US,5,20251014,172000,10.9298,10.9298,10.9298,10.9298,2000,0
TECTP.US,5,20251014,195500,10.9,10.91,10.9,10.91,700,0
TECTP.US,5,20251014,203500,10.98,11,10.98,11,4166,0
TECTP.US,5,20251015,153000,11.1,11.1,11.04,11.04,990,0
TECTP.US,5,20251015,213500,11.1,11.1,11.1,11.1,170,0
TECTP.US,5,20251016,153000,10.97,10.97,10.97,10.97,500,0
TECTP.US,5,20251016,170500,10.87,10.99,10.87,10.99,5000,0
TECTP.US,5,20251016,190000,11,11,11,11,4500,0
TECTP.US,5,20251016,191500,10.9999,11,10.92,11,2400,0
TECTP.US,5,20251016,192000,11,11,10.99,11,1200,0
TECTP.US,5,20251016,195000,11.0325,11.0325,11,11,3300,0
TECTP.US,5,20251016,203000,11,11,11,11,100,0
TECTP.US,5,20251016,205500,11.05,11.05,11,11.0365,5709,0
TECTP.US,5,20251016,210000,11,11,11,11,100,0
TECTP.US,5,20251016,211000,11,11,11,11,1320,0
TECTP.US,5,20251016,213500,10.84,10.84,10.84,10.84,100,0
TECTP.US,5,20251016,214000,10.915,11,10.915,11,3450,0
TECTP.US,5,20251016,215500,10.85,10.85,10.85,10.85,100,0
TECTP.US,5,20251017,153000,10.82,10.82,10.82,10.82,100,0
TECTP.US,5,20251021,202000,10.9236,10.9236,10.9236,10.9236,205,0
TECTP.US,5,20251024,160500,11.015,11.015,11.015,11.015,179,0
TECTP.US,5,20251027,151500,10.86,10.86,10.86,10.86,100,0
TECTP.US,5,20251027,152500,10.9731,10.9731,10.9731,10.9731,100,0
TECTP.US,5,20251027,192500,11.02,11.02,11.02,11.02,799,0
TECTP.US,5,20251028,143500,11.02,11.02,11.0155,11.02,1110,0
TECTP.US,5,20251028,144500,11.0836,11.0836,11,11,546,0
TECTP.US,5,20251029,175500,11.1899,11.1899,11.1899,11.1899,714,0
TECTP.US,5,20251029,180500,11.0836,11.0836,11.0836,11.0836,446,0
TECTP.US,5,20251030,143000,10.99,10.99,10.99,10.99,500,0
TECTP.US,5,20251030,205500,11.095,11.095,11.095,11.095,2274,0
TECTP.US,5,20251031,150500,11.18,11.18,11.18,11.18,100,0
TECTP.US,5,20251031,194500,11.1518,11.1518,11.1518,11.1518,100,0
TECTP.US,5,20251103,153000,11.18,11.18,11.18,11.18,509,0
TECTP.US,5,20251103,201000,11.19,11.19,11.1754,11.1754,232,0
TECTP.US,5,20251104,160000,11.3001,11.3001,11.3001,11.3001,470,0
TECTP.US,5,20251104,164500,11.35,11.35,11.35,11.35,100,0
TECTP.US,5,20251104,170500,11.3,11.35,11.29,11.29,2272,0
TECTP.US,5,20251104,171500,11.3,11.3,11.3,11.3,100,0
TECTP.US,5,20251104,181500,11.2,11.2,11.2,11.2,551,0
TECTP.US,5,20251104,183500,11.2891,11.2891,11.2891,11.2891,500,0
TECTP.US,5,20251104,191500,11.25,11.25,11.25,11.25,100,0
TECTP.US,5,20251104,201500,11.3,11.3,11.3,11.3,100,0
TECTP.US,5,20251105,163500,11.35,11.37,11.35,11.37,505,0
TECTP.US,5,20251105,172000,11.55,11.55,11.55,11.55,100,0
TECTP.US,5,20251105,173500,11.5,11.5,11.5,11.5,500,0
TECTP.US,5,20251105,174000,11.4259,11.4259,11.4259,11.4259,175,0
TECTP.US,5,20251105,182000,11.4709,11.4709,11.4709,11.4709,2900,0
TECTP.US,5,20251105,184000,11.7,11.7,11.7,11.7,100,0
TECTP.US,5,20251105,184500,11.5575,11.5575,11.5575,11.5575,400,0
TECTP.US,5,20251106,153000,11.49,11.49,11.49,11.49,500,0
TECTP.US,5,20251106,160500,11.5,11.5,11.5,11.5,100,0
TECTP.US,5,20251106,161000,11.4984,11.4984,11.4984,11.4984,370,0
TECTP.US,5,20251106,170500,11.5,11.5,11.481,11.481,1850,0
TECTP.US,5,20251106,171500,11.47,11.47,11.47,11.47,100,0
TECTP.US,5,20251106,173000,11.5,11.5,11.5,11.5,100,0
TECTP.US,5,20251106,180500,11.4735,11.4735,11.4735,11.4735,100,0
TECTP.US,5,20251106,182000,11.5,11.5,11.5,11.5,100,0
TECTP.US,5,20251106,184500,11.476,11.476,11.476,11.476,100,0
TECTP.US,5,20251106,191000,11.5,11.5,11.47,11.47,500,0
TECTP.US,5,20251106,193000,11.47,11.47,11.47,11.47,100,0
TECTP.US,5,20251106,195000,11.41,11.41,11.41,11.41,100,0
TECTP.US,5,20251107,153000,11.01,11.01,11.01,11.01,500,0
TECTP.US,5,20251107,181500,11.234,11.234,11.234,11.234,100,0
TECTP.US,5,20251110,153000,10.95,10.95,10.95,10.95,501,0
TECTP.US,5,20251110,215000,11.46,11.46,11.46,11.46,400,0
TECTP.US,5,20251111,153000,10.93,10.93,10.93,10.93,501,0
TECTP.US,5,20251112,204000,10.92,10.92,10.92,10.92,174,0
TECTP.US,5,20251112,214500,11.44,11.44,11.44,11.44,155,0
TECTP.US,5,20251113,183000,11.43,11.43,11.43,11.43,300,0
TECTP.US,5,20251113,183500,11.43,11.43,11.43,11.43,100,0
TECTP.US,5,20251114,204000,11.14,11.42,11.14,11.42,348,0
TECTP.US,5,20251117,174500,11.0419,11.0419,11.0419,11.0419,400,0
TECTP.US,5,20251117,175000,11.25,11.25,11.25,11.25,511,0
TECTP.US,5,20251117,184000,11.25,11.25,11.22,11.25,842,0
TECTP.US,5,20251117,212000,10.88,10.88,10.84,10.84,498,0
TECTP.US,5,20251118,180500,10.9501,10.9501,10.9501,10.9501,752,0
TECTP.US,5,20251118,205000,11.23,11.23,11.23,11.23,100,0
TECTP.US,5,20251118,211500,10.98,10.98,10.9501,10.9501,931,0
TECTP.US,5,20251118,214500,10.99,10.99,10.99,10.99,200,0
TECTP.US,5,20251119,153000,11.04,11.04,11.04,11.04,300,0
TECTP.US,5,20251119,171500,11.1819,11.1819,11.1819,11.1819,100,0
TECTP.US,5,20251119,174000,11.185,11.2,11.185,11.2,300,0
TECTP.US,5,20251119,191000,11.12,11.12,11.12,11.12,500,0
TECTP.US,5,20251119,194500,11.1,11.1,11.1,11.1,100,0
TECTP.US,5,20251119,195000,11.1,11.1,11.1,11.1,300,0
TECTP.US,5,20251119,205000,11.1,11.1,11.1,11.1,200,0
TECTP.US,5,20251119,215000,11.1,11.1,11.1,11.1,162,0
TECTP.US,5,20251120,153000,11,11,11,11,400,0
TECTP.US,5,20251120,185000,11,11.25,11,11,1497,0
TECTP.US,5,20251120,201500,11.02,11.02,11,11,300,0
TECTP.US,5,20251120,202000,10.99,10.99,10.99,10.99,100,0
TECTP.US,5,20251120,205000,10.99,10.99,10.99,10.99,400,0
TECTP.US,5,20251120,211000,10.99,10.99,10.99,10.99,175,0
TECTP.US,5,20251120,215000,10.99,10.99,10.99,10.99,100,0
TECTP.US,5,20251121,213000,11.01,11.01,11.01,11.01,100,0
TECTP.US,5,20251121,215500,11.06,11.06,11.06,11.06,100,0
TECTP.US,5,20251124,154500,11.046,11.046,11.046,11.046,200,0
TECTP.US,5,20251124,172000,10.9901,11.0138,10.99,10.99,600,0
TECTP.US,5,20251124,193000,11.06,11.06,11.06,11.06,200,0
TECTP.US,5,20251124,194500,11.06,11.06,11.06,11.06,100,0
TECTP.US,5,20251124,200000,11.07,11.07,11.0664,11.0664,952,0
TECTP.US,5,20251124,204500,11.07,11.07,11.0699,11.07,800,0
TECTP.US,5,20251124,211000,11.045,11.045,11.045,11.045,649,0
TECTP.US,5,20251125,183500,11.07,11.07,11.07,11.07,130,0
TECTP.US,5,20251125,205500,11.08,11.08,11.08,11.08,450,0
TECTP.US,5,20251128,153000,11.01,11.01,11.01,11.01,500,0
TECTP.US,5,20251201,170500,11.15,11.19,11.15,11.19,650,0
TECTP.US,5,20251201,175000,11.15,11.15,11.15,11.15,200,0
TECTP.US,5,20251201,175500,11.15,11.15,11.15,11.15,700,0
TECTP.US,5,20251201,181000,11.0984,11.1,11.05,11.05,1528,0
TECTP.US,5,20251202,153000,10.99,10.99,10.99,10.99,500,0
TECTP.US,5,20251203,165500,11.19,11.2,11.19,11.2,500,0
TECTP.US,5,20251204,153000,11.01,11.01,11.01,11.01,501,0
TECTP.US,5,20251204,154500,11.1723,11.1723,11.01,11.1723,2623,0
TECTP.US,5,20251205,153000,11.03,11.03,11.03,11.03,697,0
TECTP.US,5,20251205,160500,11.0617,11.0617,10.99,10.99,1508,0
TECTP.US,5,20251205,161000,10.99,10.99,10.99,10.99,100,0
TECTP.US,5,20251205,185000,10.98,10.98,10.98,10.98,100,0
TECTP.US,5,20251205,193500,11,11,11,11,200,0
TECTP.US,5,20251205,195000,10.98,10.98,10.98,10.98,100,0
TECTP.US,5,20251205,212000,11,11,11,11,200,0
TECTP.US,5,20251208,161500,10.98,10.98,10.98,10.98,532,0
TECTP.US,5,20251208,175500,11,11,11,11,127,0
TECTP.US,5,20251209,192500,11.0912,11.0912,11.0912,11.0912,400,0
TECTP.US,5,20251210,182500,11.04,11.04,11.04,11.04,100,0
TECTP.US,5,20251215,153000,11.15,11.15,11.15,11.15,824,0
TECTP.US,5,20251215,164500,11.1,11.1,11.06,11.06,300,0
TECTP.US,5,20251215,165000,11.07,11.07,11.05,11.05,930,0
TECTP.US,5,20251215,170500,11.06,11.06,11.06,11.06,100,0
TECTP.US,5,20251216,203500,11.07,11.07,11.07,11.07,100,0
TECTP.US,5,20251218,162000,11.19,11.19,11.19,11.19,175,0
TECTP.US,5,20251219,153000,11.19,11.19,11.19,11.19,1562,0
TECTP.US,5,20251222,174000,11.1474,11.1474,11.1474,11.1474,100,0
