<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PIII.US,5,20250731,160000,7.3981,7.3981,7.3981,7.3981,906,0
PIII.US,5,20250731,161500,7.24,7.31,7.24,7.31,632,0
PIII.US,5,20250731,163500,7.0055,7.28,7.0055,7.28,412,0
PIII.US,5,20250731,164000,7.28,7.28,7.28,7.28,500,0
PIII.US,5,20250731,171000,7.54,7.54,7.54,7.54,100,0
PIII.US,5,20250731,172000,7.2146,7.2146,7.2146,7.2146,1000,0
PIII.US,5,20250731,172500,7.18,7.18,7.18,7.18,100,0
PIII.US,5,20250731,173000,7.3472,7.3472,7.3472,7.3472,200,0
PIII.US,5,20250731,173500,7.48,7.55,7.48,7.55,2000,0
PIII.US,5,20250731,174000,7.2717,7.2717,7.2717,7.2717,500,0
PIII.US,5,20250731,174500,7.54,7.54,7.54,7.54,100,0
PIII.US,5,20250731,175500,7.55,7.55,7.55,7.55,1312,0
PIII.US,5,20250731,180000,7.55,7.55,7.49,7.49,296,0
PIII.US,5,20250731,183500,7.56,7.56,7.56,7.56,100,0
PIII.US,5,20250731,184500,7.43,7.44,7.42,7.4201,2305,0
PIII.US,5,20250731,185000,7.42,7.42,7.42,7.42,108,0
PIII.US,5,20250731,191500,7.67,7.67,7.67,7.67,100,0
PIII.US,5,20250731,193000,7.61,7.6884,7.6,7.65,2224,0
PIII.US,5,20250731,193500,7.6061,7.6061,7.6061,7.6061,174,0
PIII.US,5,20250731,194000,7.6336,7.6336,7.6336,7.6336,500,0
PIII.US,5,20250731,195500,7.61,7.61,7.6,7.6,1196,0
PIII.US,5,20250731,201000,7.3,7.3001,7.3,7.3001,469,0
PIII.US,5,20250731,203000,7.5043,7.5043,7.5043,7.5043,263,0
PIII.US,5,20250731,204000,7.47,7.47,7.4,7.4,233,0
PIII.US,5,20250731,210500,7.6,7.6,7.51,7.51,500,0
PIII.US,5,20250731,211500,7.42,7.42,7.42,7.42,100,0
PIII.US,5,20250731,212500,7.57,7.57,7.57,7.57,100,0
PIII.US,5,20250731,213500,7.6,7.6,7.5,7.5,1260,0
PIII.US,5,20250731,214500,7.44,7.44,7.2501,7.2501,633,0
PIII.US,5,20250731,215500,7.58,7.58,7.58,7.58,100,0
PIII.US,5,20250801,154000,6.56,6.56,5.9,6.52,450,0
PIII.US,5,20250801,160500,6.7918,6.7918,6.7918,6.7918,104,0
PIII.US,5,20250801,161500,6.8558,6.8558,6.8558,6.8558,100,0
PIII.US,5,20250801,162000,7.004,7.004,7.004,7.004,200,0
PIII.US,5,20250801,163000,7.4,7.4,7.4,7.4,500,0
PIII.US,5,20250801,163500,7.105,7.105,6.81,6.81,1000,0
PIII.US,5,20250801,192000,7.37,7.37,7.37,7.37,200,0
PIII.US,5,20250801,202500,7.34,7.34,7.33,7.33,201,0
PIII.US,5,20250801,210000,7.09,7.09,7.09,7.09,1901,0
PIII.US,5,20250801,215500,7.34,7.34,7.34,7.34,124,0
PIII.US,5,20250804,154500,7.092,7.092,7.092,7.092,500,0
PIII.US,5,20250804,155000,7.35,7.35,7.35,7.35,100,0
PIII.US,5,20250804,160000,7.29,7.29,7.29,7.29,100,0
PIII.US,5,20250804,161000,7.1,7.1,7.1,7.1,100,0
PIII.US,5,20250804,162000,6.98,6.98,6.98,6.98,200,0
PIII.US,5,20250804,163500,7,7,7,7,115,0
PIII.US,5,20250804,164000,7.03,7.03,7.03,7.03,100,0
PIII.US,5,20250804,181500,7.0123,7.0123,7.0123,7.0123,3000,0
PIII.US,5,20250804,184000,7.0179,7.0179,7.0179,7.0179,1100,0
PIII.US,5,20250804,191500,7.13,7.13,7.13,7.13,105,0
PIII.US,5,20250804,204500,7.145,7.2615,7.145,7.1943,400,0
PIII.US,5,20250804,215000,7.0203,7.2,7,7.07,2516,0
PIII.US,5,20250804,215500,7.17,7.19,7.17,7.19,247,0
PIII.US,5,20250805,153500,6.69,6.69,6.69,6.69,100,0
PIII.US,5,20250805,155500,6.7225,6.7225,6.7225,6.7225,150,0
PIII.US,5,20250805,160000,7,7,7,7,1034,0
PIII.US,5,20250805,171500,6.76,6.76,6.76,6.76,119,0
PIII.US,5,20250805,185500,6.76,6.76,6.76,6.76,111,0
PIII.US,5,20250805,193000,7,7,7,7,100,0
PIII.US,5,20250805,203000,6.773,6.773,6.773,6.773,1000,0
PIII.US,5,20250805,205000,6.8506,6.8506,6.7654,6.7654,320,0
PIII.US,5,20250805,210500,7,7,7,7,100,0
PIII.US,5,20250806,153000,6.75,6.75,6.75,6.75,536,0
PIII.US,5,20250806,164000,6.81,6.81,6.8,6.8,393,0
PIII.US,5,20250806,175500,6.88,6.88,6.88,6.88,101,0
PIII.US,5,20250806,194500,6.78,6.78,6.78,6.78,100,0
PIII.US,5,20250806,195000,6.7525,6.7525,6.7525,6.7525,125,0
PIII.US,5,20250806,203500,6.75,6.75,6.75,6.75,793,0
PIII.US,5,20250806,212000,6.77,6.77,6.77,6.77,100,0
PIII.US,5,20250806,215500,6.78,6.78,6.78,6.78,125,0
PIII.US,5,20250807,153000,6.86,6.86,6.86,6.86,115,0
PIII.US,5,20250807,155000,6.78,6.78,6.78,6.78,100,0
PIII.US,5,20250807,174500,6.66,6.66,6.66,6.66,225,0
PIII.US,5,20250807,215500,6.83,6.83,6.83,6.83,112,0
PIII.US,5,20250808,153000,6.78,6.78,6.78,6.78,204,0
PIII.US,5,20250808,171500,6.69,6.69,6.69,6.69,100,0
PIII.US,5,20250808,173000,6.45,6.51,6.37,6.4203,3518,0
PIII.US,5,20250808,174000,6.42,6.442,6.42,6.442,679,0
PIII.US,5,20250808,203000,6.4641,6.4641,6.4641,6.4641,400,0
PIII.US,5,20250808,204500,6.495,6.495,6.495,6.495,100,0
PIII.US,5,20250808,210000,6.7,6.7,6.7,6.7,118,0
PIII.US,5,20250811,153000,6.62,6.62,6.62,6.62,141,0
PIII.US,5,20250811,155000,6.6,6.6,6.6,6.6,100,0
PIII.US,5,20250811,162500,6.57,6.6,6.57,6.6,347,0
PIII.US,5,20250812,153000,6.46,6.46,6.42,6.42,302,0
PIII.US,5,20250812,160000,6.69,6.69,6.69,6.69,110,0
PIII.US,5,20250812,174000,6.68,6.68,6.68,6.68,100,0
PIII.US,5,20250812,202000,6.7184,6.7184,6.7184,6.7184,1100,0
PIII.US,5,20250812,204000,6.74,6.74,6.74,6.74,100,0
PIII.US,5,20250812,215500,6.63,6.63,6.63,6.63,112,0
PIII.US,5,20250813,161000,6.6312,6.6312,6.6312,6.6312,250,0
PIII.US,5,20250813,164500,6.6156,6.6156,6.6156,6.6156,2250,0
PIII.US,5,20250813,211000,7.1,7.1,7.1,7.1,100,0
PIII.US,5,20250814,154500,7,7,7,7,990,0
PIII.US,5,20250814,171500,6.9881,6.9881,6.9881,6.9881,100,0
PIII.US,5,20250814,173500,6.97,6.97,6.97,6.97,100,0
PIII.US,5,20250814,182000,7.015,7.015,7.015,7.015,247,0
PIII.US,5,20250814,210000,7.1079,7.1079,7.107,7.107,395,0
PIII.US,5,20250814,211500,6.96,6.98,6.96,6.98,200,0
PIII.US,5,20250814,212000,7.0751,7.0751,7.0751,7.0751,141,0
PIII.US,5,20250814,213000,7.08,7.08,7.08,7.08,467,0
PIII.US,5,20250814,215500,6.94,6.94,6.94,6.94,190,0
PIII.US,5,20250815,153000,6.94,6.94,6.6,6.64,1272,0
PIII.US,5,20250815,155500,6.6413,6.6413,6.6413,6.6413,141,0
PIII.US,5,20250815,164000,6.6,6.7,6.5,6.5,4401,0
PIII.US,5,20250815,171500,6.7,6.7,6.7,6.7,263,0
PIII.US,5,20250815,172500,6.65,6.65,6.65,6.65,724,0
PIII.US,5,20250815,182500,6.7,6.7,6.7,6.7,179,0
PIII.US,5,20250815,211500,6.91,6.91,6.91,6.91,200,0
PIII.US,5,20250815,213500,6.81,6.81,6.81,6.81,300,0
PIII.US,5,20250815,215500,6.775,6.775,6.775,6.775,200,0
PIII.US,5,20250818,163000,6.85,6.85,6.85,6.85,385,0
PIII.US,5,20250818,182000,6.881,6.881,6.881,6.881,125,0
PIII.US,5,20250818,215500,7.09,7.09,6.95,6.95,206,0
PIII.US,5,20250819,163500,6.95,6.95,6.777,6.9391,1297,0
PIII.US,5,20250819,164000,6.922,6.922,6.922,6.922,100,0
PIII.US,5,20250819,183000,6.922,6.922,6.922,6.922,100,0
PIII.US,5,20250819,190500,6.76,7.03,6.6,7.03,3355,0
PIII.US,5,20250819,193000,7.03,7.03,7.03,7.03,100,0
PIII.US,5,20250819,202000,7.03,7.03,6.97,7.02,1702,0
PIII.US,5,20250819,204000,7.03,7.15,7.03,7.15,1273,0
PIII.US,5,20250819,210500,6.9608,6.9608,6.9608,6.9608,100,0
PIII.US,5,20250819,215000,7.15,7.15,7.15,7.15,100,0
PIII.US,5,20250819,215500,7.16,7.44,7.16,7.17,448,0
PIII.US,5,20250820,160500,6.7529,6.7529,6.7529,6.7529,180,0
PIII.US,5,20250820,161000,6.99,7.03,6.99,7.03,300,0
PIII.US,5,20250820,161500,6.925,6.925,6.925,6.925,234,0
PIII.US,5,20250820,162000,7.13,7.17,7.13,7.17,2960,0
PIII.US,5,20250820,162500,7.17,7.17,7.17,7.17,123,0
PIII.US,5,20250820,170000,7.17,7.2,7.16,7.2,2020,0
PIII.US,5,20250820,172000,7.38,7.49,7.38,7.49,200,0
PIII.US,5,20250820,174500,7.37,7.37,7.37,7.37,200,0
PIII.US,5,20250820,180500,7.37,7.37,7.37,7.37,3175,0
PIII.US,5,20250820,182000,7.37,7.37,7.37,7.37,100,0
PIII.US,5,20250820,182500,7.4,7.4,7.4,7.4,100,0
PIII.US,5,20250820,185500,7.36,7.36,7.36,7.36,100,0
PIII.US,5,20250820,193000,7.37,7.37,7.37,7.37,100,0
PIII.US,5,20250820,194000,7.4,7.4,7.4,7.4,204,0
PIII.US,5,20250820,194500,7.215,7.215,7.0392,7.0392,200,0
PIII.US,5,20250820,200000,7.1854,7.1854,7.1854,7.1854,150,0
PIII.US,5,20250820,200500,7.4,7.4,7.25,7.25,253,0
PIII.US,5,20250820,210500,7.4,7.4,7.3,7.3,2997,0
PIII.US,5,20250820,211000,7.315,7.315,7.315,7.315,200,0
PIII.US,5,20250820,212500,7.2,7.2,7.2,7.2,100,0
PIII.US,5,20250820,214000,7.28,7.28,7.28,7.28,100,0
PIII.US,5,20250820,214500,7.28,7.28,7.28,7.28,640,0
PIII.US,5,20250820,215500,7.4,7.53,7.315,7.315,2372,0
PIII.US,5,20250821,170000,7.46,7.82,7.46,7.82,1831,0
PIII.US,5,20250821,171000,7.59,7.66,7.59,7.66,991,0
PIII.US,5,20250821,173500,7.64,7.65,7.64,7.65,308,0
PIII.US,5,20250821,181500,7.45,7.5,7.45,7.5,1004,0
PIII.US,5,20250821,182500,7.69,7.7,7.69,7.7,2430,0
PIII.US,5,20250821,194500,7.46,7.6,7.46,7.6,1320,0
PIII.US,5,20250821,203500,7.7,7.7,7.69,7.7,4334,0
PIII.US,5,20250821,204000,7.75,7.75,7.61,7.61,200,0
PIII.US,5,20250821,210000,7.5,7.5,7.5,7.5,1169,0
PIII.US,5,20250821,215500,7.58,7.7,7.31,7.31,403,0
PIII.US,5,20250822,153000,7.41,7.41,7.41,7.41,138,0
PIII.US,5,20250822,162500,7.51,7.51,7.51,7.51,100,0
PIII.US,5,20250822,171000,7.5608,7.5608,7.5608,7.5608,300,0
PIII.US,5,20250822,173500,7.67,7.7,7.668,7.668,2000,0
PIII.US,5,20250822,181500,7.7,7.7,7.7,7.7,357,0
PIII.US,5,20250822,183000,7.63,7.7,7.63,7.7,2370,0
PIII.US,5,20250822,190500,7.5626,7.5626,7.5626,7.5626,400,0
PIII.US,5,20250822,191000,7.7004,7.7004,7.7004,7.7004,200,0
PIII.US,5,20250822,212500,7.57,7.63,7.56,7.56,823,0
PIII.US,5,20250822,213000,7.525,7.59,7.525,7.59,200,0
PIII.US,5,20250822,215000,7.6758,7.6758,7.6758,7.6758,200,0
PIII.US,5,20250822,215500,7.19,7.19,7.19,7.19,200,0
PIII.US,5,20250825,153000,7.36,7.36,7.36,7.36,463,0
PIII.US,5,20250825,155500,7.25,7.39,7.23,7.37,600,0
PIII.US,5,20250825,160000,7.47,7.59,7.43,7.59,1200,0
PIII.US,5,20250825,160500,7.5,7.52,7.4506,7.46,1570,0
PIII.US,5,20250825,175500,7.59,7.6,7.59,7.6,841,0
PIII.US,5,20250825,194500,7.58,7.61,7.58,7.61,460,0
PIII.US,5,20250825,205500,7.61,7.61,7.61,7.61,200,0
PIII.US,5,20250825,211000,7.39,7.39,7.39,7.39,100,0
PIII.US,5,20250826,153000,7.5,7.5,7.5,7.5,124,0
PIII.US,5,20250826,154500,7.47,7.47,7.47,7.47,500,0
PIII.US,5,20250826,155000,7.41,7.5,7.41,7.5,335,0
PIII.US,5,20250826,160000,7.46,7.7,7.3895,7.7,3680,0
PIII.US,5,20250826,161000,7.71,7.71,7.69,7.7,884,0
PIII.US,5,20250826,173000,7.6,7.6328,7.6,7.6328,760,0
PIII.US,5,20250826,181000,7.651,7.651,7.651,7.651,100,0
PIII.US,5,20250826,181500,7.75,7.75,7.75,7.75,1291,0
PIII.US,5,20250826,214500,7.9376,7.9376,7.9376,7.9376,100,0
PIII.US,5,20250826,215000,7.88,7.99,7.88,7.99,3056,0
PIII.US,5,20250827,153000,7.98,7.98,7.98,7.98,150,0
PIII.US,5,20250827,154000,7.99,7.99,7.99,7.99,915,0
PIII.US,5,20250827,154500,7.99,7.99,7.99,7.99,100,0
PIII.US,5,20250827,174500,8.1,8.1,8.1,8.1,608,0
PIII.US,5,20250827,175000,7.9,7.9,7.9,7.9,100,0
PIII.US,5,20250827,182500,7.9104,7.9104,7.9104,7.9104,124,0
PIII.US,5,20250827,183500,7.93,7.93,7.93,7.93,100,0
PIII.US,5,20250827,185500,8.1,8.1,8.1,8.1,528,0
PIII.US,5,20250827,215500,8.1,8.1,7.85,7.85,564,0
PIII.US,5,20250828,155500,8.09,8.095,8.09,8.095,401,0
PIII.US,5,20250828,161000,8.0841,8.0841,8.0841,8.0841,100,0
PIII.US,5,20250828,163500,8.5,8.5,8.195,8.195,413,0
PIII.US,5,20250828,170000,8.1,8.275,8.1,8.275,2027,0
PIII.US,5,20250828,170500,8.16,8.16,8.16,8.16,100,0
PIII.US,5,20250828,185000,8.12,8.12,8.12,8.12,1700,0
PIII.US,5,20250828,190500,8.2553,8.2553,8.2553,8.2553,240,0
PIII.US,5,20250828,192000,8.26,8.26,8.26,8.26,100,0
PIII.US,5,20250828,193000,8.2196,8.2196,8.1709,8.1709,240,0
PIII.US,5,20250828,213500,8.2246,8.27,8.2246,8.27,1100,0
PIII.US,5,20250828,214000,8.17,8.27,8.17,8.1709,4816,0
PIII.US,5,20250828,214500,8.29,8.29,8.17,8.25,1100,0
PIII.US,5,20250828,215000,8.16,8.16,8.16,8.16,100,0
PIII.US,5,20250828,215500,8.3,8.315,8.2886,8.315,2950,0
PIII.US,5,20250829,153000,8.5,8.775,8.5,8.55,552,0
PIII.US,5,20250829,155500,8.5779,8.5779,8.5779,8.5779,100,0
PIII.US,5,20250829,160000,8.56,8.56,8.55,8.55,554,0
PIII.US,5,20250829,160500,8.395,8.58,8.395,8.56,300,0
PIII.US,5,20250829,171000,8.4971,8.4971,8.4971,8.4971,100,0
PIII.US,5,20250829,182500,8.37,8.37,8.37,8.37,400,0
PIII.US,5,20250829,185000,8.26,8.26,8.26,8.26,100,0
PIII.US,5,20250829,195500,8.419,8.419,8.419,8.419,300,0
PIII.US,5,20250829,203000,8.35,8.35,8.25,8.35,1975,0
PIII.US,5,20250829,210500,8.3298,8.3298,8.3298,8.3298,300,0
PIII.US,5,20250902,153000,8.34,8.34,8.34,8.34,100,0
PIII.US,5,20250902,154000,8.0813,8.75,8.0813,8.75,311,0
PIII.US,5,20250902,161000,8.11,8.11,8.11,8.11,100,0
PIII.US,5,20250902,180500,8.33,8.33,8.33,8.33,250,0
PIII.US,5,20250902,201500,8.37,8.37,8.37,8.37,440,0
PIII.US,5,20250902,210500,8.27,8.27,8.27,8.27,177,0
PIII.US,5,20250903,163000,8.3,8.3,8.3,8.3,136,0
PIII.US,5,20250903,173000,8.49,8.49,8.49,8.49,100,0
PIII.US,5,20250903,180000,8.53,8.53,8.53,8.53,1650,0
PIII.US,5,20250903,192500,8.5244,8.625,8.5244,8.625,612,0
PIII.US,5,20250903,195000,8.53,8.53,8.53,8.53,100,0
PIII.US,5,20250904,161500,8.81,8.81,8.81,8.81,108,0
PIII.US,5,20250904,162000,8.81,8.81,8.81,8.81,100,0
PIII.US,5,20250904,174000,8.7585,8.7585,8.7585,8.7585,100,0
PIII.US,5,20250904,180000,8.65,8.65,8.65,8.65,100,0
PIII.US,5,20250904,184000,8.7079,8.7079,8.7079,8.7079,100,0
PIII.US,5,20250904,190000,8.8499,8.8499,8.8499,8.8499,298,0
PIII.US,5,20250904,193500,8.85,8.85,8.85,8.85,120,0
PIII.US,5,20250904,213000,8.764,8.764,8.764,8.764,300,0
PIII.US,5,20250905,153000,8.9,8.9,8.9,8.9,423,0
PIII.US,5,20250905,155500,8.81,8.81,8.81,8.81,420,0
PIII.US,5,20250905,170000,8.9,8.9,8.9,8.9,100,0
PIII.US,5,20250905,180000,8.9,8.9,8.89,8.89,205,0
PIII.US,5,20250905,183500,8.895,8.895,8.8946,8.8946,500,0
PIII.US,5,20250905,184000,8.8935,8.8935,8.8935,8.8935,153,0
PIII.US,5,20250905,193500,8.8968,8.8968,8.8968,8.8968,500,0
PIII.US,5,20250905,195000,8.9,8.9,8.9,8.9,246,0
PIII.US,5,20250905,204000,8.8993,8.8993,8.8993,8.8993,1000,0
PIII.US,5,20250905,211500,8.89,8.89,8.89,8.89,300,0
PIII.US,5,20250905,212000,8.93,8.93,8.89,8.89,577,0
PIII.US,5,20250905,215500,8.7742,8.7742,8.7742,8.7742,174,0
PIII.US,5,20250908,174000,8.8255,8.8255,8.8255,8.8255,581,0
PIII.US,5,20250908,185500,8.66,8.66,8.66,8.66,100,0
PIII.US,5,20250908,190500,8.7372,8.757,8.7372,8.757,350,0
PIII.US,5,20250908,191000,8.7453,8.7453,8.7453,8.7453,320,0
PIII.US,5,20250908,200000,8.781,8.781,8.781,8.781,250,0
PIII.US,5,20250909,153000,8.78,8.78,8.78,8.78,100,0
PIII.US,5,20250909,165500,8.62,8.62,8.62,8.62,100,0
PIII.US,5,20250909,174500,8.6369,8.6369,8.6369,8.6369,1500,0
PIII.US,5,20250909,191500,8.7,8.7,8.7,8.7,100,0
PIII.US,5,20250909,200500,8.77,8.77,8.77,8.77,242,0
PIII.US,5,20250909,204000,8.89,8.9,8.89,8.9,337,0
PIII.US,5,20250909,212500,8.79,8.79,8.79,8.79,200,0
PIII.US,5,20250909,215000,8.75,8.75,8.75,8.75,650,0
PIII.US,5,20250909,215500,8.8,8.8,8.79,8.79,300,0
PIII.US,5,20250910,162000,8.8,8.8,8.8,8.8,200,0
PIII.US,5,20250910,163500,8.865,8.865,8.865,8.865,300,0
PIII.US,5,20250910,164500,8.8,8.8,8.8,8.8,610,0
PIII.US,5,20250910,173000,8.7646,8.7646,8.7646,8.7646,103,0
PIII.US,5,20250910,184500,8.8765,8.8765,8.8765,8.8765,600,0
PIII.US,5,20250910,204000,8.735,8.735,8.735,8.735,121,0
PIII.US,5,20250910,212500,8.68,8.68,8.68,8.68,100,0
PIII.US,5,20250911,162500,8.683,8.683,8.683,8.683,225,0
PIII.US,5,20250911,170000,8.6358,8.6358,8.6358,8.6358,100,0
PIII.US,5,20250911,173500,8.6525,8.6525,8.6525,8.6525,159,0
PIII.US,5,20250911,182500,8.6144,8.6144,8.6144,8.6144,300,0
PIII.US,5,20250911,184000,8.702,8.702,8.702,8.702,100,0
PIII.US,5,20250911,190000,8.6,8.61,8.6,8.6,2557,0
PIII.US,5,20250911,191000,8.4616,8.4616,8.4616,8.4616,500,0
PIII.US,5,20250911,205500,8.674,8.674,8.674,8.674,182,0
PIII.US,5,20250912,154500,8.7,8.7,8.7,8.7,100,0
