<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLDR.US,5,20250828,212500,50.36,50.36,50.3344,50.3344,546,0
SLDR.US,5,20250829,184500,50.31,50.31,50.31,50.31,100,0
SLDR.US,5,20250829,202500,50.31,50.31,50.31,50.31,180,0
SLDR.US,5,20250902,161500,50.21,50.21,50.21,50.21,100,0
SLDR.US,5,20250902,215500,50.2,50.35,50.2,50.2,400,0
SLDR.US,5,20250908,160500,50.3102,50.3102,50.3102,50.3102,448,0
SLDR.US,5,20250908,162500,50.325,50.36,50.325,50.36,250,0
SLDR.US,5,20250908,214000,50.32,50.32,50.32,50.32,166,0
SLDR.US,5,20250909,170000,50.28,50.28,50.15,50.27,4102,0
SLDR.US,5,20250916,162500,50.37,50.37,50.37,50.37,100,0
SLDR.US,5,20250916,180500,50.345,50.345,50.345,50.345,171,0
SLDR.US,5,20250919,213500,50.36,50.36,50.36,50.36,852,0
SLDR.US,5,20250930,161500,50.4,50.4,50.4,50.4,100,0
SLDR.US,5,20251003,212500,50.25,50.25,50.25,50.25,120,0
SLDR.US,5,20251003,213000,50.28,50.28,50.28,50.28,21806,0
SLDR.US,5,20251006,194500,50.24,50.24,50.24,50.24,4588,0
SLDR.US,5,20251006,195000,50.27,50.27,50.27,50.27,9448,0
SLDR.US,5,20251008,153500,50.292,50.292,50.292,50.292,398,0
SLDR.US,5,20251008,154000,50.32,50.32,50.32,50.32,398,0
SLDR.US,5,20251008,161000,50.2785,50.2785,50.2409,50.2409,396,0
SLDR.US,5,20251008,202000,50.2755,50.2755,50.2755,50.2755,307,0
SLDR.US,5,20251008,202500,50.2755,50.2755,50.2755,50.2755,330,0
SLDR.US,5,20251016,184500,50.37,50.37,50.37,50.37,100,0
SLDR.US,5,20251016,191500,50.35,50.35,50.35,50.35,100,0
SLDR.US,5,20251016,212500,50.37,50.4,50.37,50.4,15148,0
SLDR.US,5,20251017,165000,50.4294,50.4294,50.4294,50.4294,600,0
SLDR.US,5,20251017,212000,50.41,50.41,50.41,50.41,819,0
SLDR.US,5,20251021,213500,50.42,50.42,50.42,50.42,2485,0
SLDR.US,5,20251024,211500,50.4,50.4,50.4,50.4,323,0
SLDR.US,5,20251028,145500,50.398,50.398,50.398,50.398,100,0
SLDR.US,5,20251028,152000,50.37,50.3701,50.37,50.3701,200,0
SLDR.US,5,20251028,154000,50.38,50.38,50.38,50.38,100,0
SLDR.US,5,20251029,143500,50.46,50.46,50.4599,50.4599,200,0
SLDR.US,5,20251029,163000,50.4493,50.4493,50.4094,50.4094,1245,0
SLDR.US,5,20251029,181000,50.4206,50.4206,50.4206,50.4206,100,0
SLDR.US,5,20251030,143000,50.39,50.39,50.39,50.39,100,0
SLDR.US,5,20251030,203500,50.38,50.38,50.38,50.38,311,0
SLDR.US,5,20251031,173000,50.3924,50.3924,50.3924,50.3924,750,0
SLDR.US,5,20251031,180000,50.393,50.393,50.37,50.393,3683,0
SLDR.US,5,20251103,153000,50.37,50.37,50.37,50.37,111,0
SLDR.US,5,20251103,155500,50.19,50.19,50.19,50.19,100,0
SLDR.US,5,20251103,162000,50.2348,50.2348,50.2348,50.2348,100,0
SLDR.US,5,20251103,180000,50.2,50.2001,50.2,50.2001,200,0
SLDR.US,5,20251106,212500,50.27,50.27,50.27,50.27,101,0
SLDR.US,5,20251107,200500,50.28,50.28,50.28,50.28,7600,0
SLDR.US,5,20251111,161500,50.295,50.295,50.295,50.295,100,0
SLDR.US,5,20251113,155000,50.3,50.3,50.2999,50.2999,200,0
SLDR.US,5,20251113,155500,50.31,50.31,50.31,50.31,100,0
SLDR.US,5,20251113,161000,50.3,50.3,50.2999,50.2999,1000,0
SLDR.US,5,20251113,165000,50.31,50.35,50.31,50.35,360,0
SLDR.US,5,20251113,172500,50.31,50.31,50.31,50.31,100,0
SLDR.US,5,20251118,183000,50.29,50.3155,50.29,50.3155,600,0
SLDR.US,5,20251120,174500,50.34,50.34,50.34,50.34,497,0
SLDR.US,5,20251120,205500,50.335,50.335,50.335,50.335,250,0
SLDR.US,5,20251124,214000,50.37,50.37,50.37,50.37,808,0
SLDR.US,5,20251126,213500,50.38,50.38,50.38,50.38,695,0
SLDR.US,5,20251201,204500,50.2374,50.2374,50.2374,50.2374,100,0
SLDR.US,5,20251202,214500,50.23,50.23,50.18,50.18,200,0
SLDR.US,5,20251203,160000,50.25,50.25,50.25,50.25,100,0
SLDR.US,5,20251203,215500,50.25,50.25,50.25,50.25,100,0
SLDR.US,5,20251204,160000,50.29,50.29,50.2899,50.2899,256,0
SLDR.US,5,20251204,204500,50.2504,50.2504,50.2504,50.2504,2895,0
SLDR.US,5,20251204,214500,50.27,50.27,50.27,50.27,283,0
SLDR.US,5,20251208,213000,50.2632,50.2632,50.2632,50.2632,300,0
SLDR.US,5,20251210,214000,50.29,50.29,50.29,50.29,247,0
SLDR.US,5,20251211,160500,50.3299,50.3299,50.3299,50.3299,100,0
SLDR.US,5,20251211,213000,50.32,50.32,50.32,50.32,727,0
SLDR.US,5,20251216,155000,50.33,50.3499,50.26,50.28,702,0
SLDR.US,5,20251216,173500,50.33,50.33,50.33,50.33,100,0
SLDR.US,5,20251216,212500,50.34,50.34,50.34,50.34,645,0
SLDR.US,5,20251222,214000,50.39,50.39,50.39,50.39,195,0
