<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STHH.US,5,20250821,193500,51.6002,51.62,51.6,51.62,300,0
STHH.US,5,20250822,153500,52.56,52.56,52.56,52.56,100,0
STHH.US,5,20250822,154500,52.8,52.8,52.8,52.8,100,0
STHH.US,5,20250822,160000,53.07,53.07,53.05,53.05,200,0
STHH.US,5,20250822,175500,53.95,53.95,53.95,53.95,200,0
STHH.US,5,20250822,182500,53.98,53.98,53.98,53.98,100,0
STHH.US,5,20250822,191500,54.13,54.13,54.13,54.13,100,0
STHH.US,5,20250825,161000,54.16,54.16,54.16,54.16,100,0
STHH.US,5,20250825,170000,54.34,54.34,54.34,54.34,100,0
STHH.US,5,20250825,204000,54.35,54.35,54.35,54.35,100,0
STHH.US,5,20250825,205000,54.4,54.4,54.4,54.4,100,0
STHH.US,5,20250826,153500,54,54,54,54,100,0
STHH.US,5,20250826,163500,54.29,54.29,54.29,54.29,101,0
STHH.US,5,20250827,153000,53.65,53.65,53.65,53.65,101,0
STHH.US,5,20250827,204000,53.93,53.93,53.93,53.93,100,0
STHH.US,5,20250828,153000,55.34,55.34,55.34,55.34,100,0
STHH.US,5,20250828,153500,55.3,55.3,55.3,55.3,100,0
STHH.US,5,20250828,154500,55.26,55.26,55.26,55.26,100,0
STHH.US,5,20250828,160000,55.13,55.13,55.13,55.13,100,0
STHH.US,5,20250828,161500,55.13,55.13,55.13,55.13,100,0
STHH.US,5,20250828,215500,54.64,54.64,54.64,54.64,100,0
STHH.US,5,20250829,153000,53.85,53.85,53.85,53.85,100,0
STHH.US,5,20250829,160000,53.99,53.99,53.99,53.99,100,0
STHH.US,5,20250902,153000,51.55,51.55,51.55,51.55,102,0
STHH.US,5,20250902,160000,51.9,51.9,51.9,51.9,100,0
STHH.US,5,20250902,204000,51.75,51.75,51.75,51.75,100,0
STHH.US,5,20250903,153000,52.7,52.7,52.7,52.7,102,0
STHH.US,5,20250903,155000,52.55,52.55,52.55,52.55,101,0
STHH.US,5,20250903,164500,52.27,52.27,52.27,52.27,100,0
STHH.US,5,20250903,170500,51.27,51.27,51.27,51.27,100,0
STHH.US,5,20250903,173500,50.4,50.4,50.4,50.4,100,0
STHH.US,5,20250903,182000,50.5,50.5,50.5,50.5,100,0
STHH.US,5,20250903,184000,50.53,50.53,50.53,50.53,100,0
STHH.US,5,20250904,160500,50.53,50.53,50.53,50.53,100,0
STHH.US,5,20250904,171000,50.7,50.7,50.7,50.7,100,0
STHH.US,5,20250904,174500,51.28,51.28,51.28,51.28,100,0
STHH.US,5,20250905,155000,53.01,53.01,53.01,53.01,100,0
STHH.US,5,20250905,155500,53.27,53.27,53.27,53.27,100,0
STHH.US,5,20250908,154000,52.77,52.77,52.77,52.77,110,0
STHH.US,5,20250908,165000,52.43,52.43,52.43,52.43,107,0
STHH.US,5,20250908,203000,52.64,52.64,52.64,52.64,100,0
STHH.US,5,20250909,170500,51.59,51.59,51.59,51.59,200,0
STHH.US,5,20250909,195500,51.38,51.38,51.38,51.38,100,0
STHH.US,5,20250910,153000,51.86,51.86,51.86,51.86,204,0
STHH.US,5,20250910,163500,51.51,51.51,51.51,51.51,100,0
STHH.US,5,20250910,180000,51.37,51.37,51.37,51.37,100,0
STHH.US,5,20250910,201500,51.1,51.1,51.1,51.1,100,0
STHH.US,5,20250911,155000,51.76,51.76,51.76,51.76,100,0
STHH.US,5,20250911,174000,51.49,51.49,51.49,51.49,100,0
STHH.US,5,20250911,211000,51.68,51.68,51.68,51.68,200,0
STHH.US,5,20250912,175000,51.4,51.4,51.4,51.4,100,0
STHH.US,5,20250912,205000,51.43,51.43,51.43,51.43,100,0
STHH.US,5,20250915,173500,53.3,53.3,53.3,53.3,100,0
STHH.US,5,20250915,180000,53.25,53.25,53.25,53.25,100,0
STHH.US,5,20250916,185500,52.84,52.84,52.84,52.84,102,0
STHH.US,5,20250917,163000,53.18,53.18,53.18,53.18,101,0
STHH.US,5,20250918,160500,55.5,55.5,55.5,55.5,300,0
STHH.US,5,20250919,180000,54.35,54.35,54.35,54.35,100,0
STHH.US,5,20250922,172000,55.55,55.55,55.55,55.55,100,0
STHH.US,5,20250922,201000,56.27,56.27,56.27,56.27,100,0
STHH.US,5,20250923,154000,57,57,57,57,106,0
STHH.US,5,20250923,162500,57.23,57.23,57.23,57.23,100,0
STHH.US,5,20250923,173000,57.18,57.18,57.18,57.18,117,0
STHH.US,5,20250923,182000,56.97,56.97,56.97,56.97,100,0
STHH.US,5,20250924,155500,56.78,56.78,56.78,56.78,100,0
STHH.US,5,20250924,162500,57.13,57.13,57.13,57.13,100,0
STHH.US,5,20250924,202000,57.4266,57.4266,57.4266,57.4266,100,0
STHH.US,5,20250924,205500,57.65,57.65,57.65,57.65,100,0
STHH.US,5,20250925,153500,56.3,56.3,56.3,56.3,100,0
STHH.US,5,20250926,163500,54.82,54.82,54.82,54.82,102,0
STHH.US,5,20250926,185000,55.52,55.52,55.52,55.52,100,0
STHH.US,5,20250929,155500,55.68,55.68,55.68,55.68,100,0
STHH.US,5,20250929,161000,55.75,55.75,55.75,55.75,102,0
STHH.US,5,20250929,171500,55.73,55.73,55.73,55.73,205,0
STHH.US,5,20250929,201500,55.88,55.88,55.88,55.88,100,0
STHH.US,5,20250930,153000,55.5,55.5,55.5,55.5,101,0
STHH.US,5,20250930,170000,55.3,55.3,55.3,55.3,100,0
STHH.US,5,20251001,153000,56.04,56.04,56.04,56.04,100,0
STHH.US,5,20251001,155000,55.92,55.92,55.92,55.92,105,0
STHH.US,5,20251001,160000,56.04,56.04,56.04,56.04,101,0
STHH.US,5,20251001,174000,55.9,55.9,55.9,55.9,100,0
STHH.US,5,20251002,153000,57.6901,57.6901,57.69,57.69,200,0
STHH.US,5,20251003,153000,57.18,57.18,57.18,57.18,101,0
STHH.US,5,20251006,154000,57.94,57.94,57.94,57.94,100,0
STHH.US,5,20251006,180500,57.48,57.48,57.48,57.48,100,0
STHH.US,5,20251006,183500,57.65,57.65,57.65,57.65,100,0
STHH.US,5,20251007,155500,57.33,57.33,57.33,57.33,100,0
STHH.US,5,20251007,161500,57.08,57.08,57.08,57.08,102,0
STHH.US,5,20251008,160500,56.41,56.41,56.41,56.41,100,0
STHH.US,5,20251008,163000,57.11,57.11,57.11,57.11,100,0
STHH.US,5,20251008,164000,56.97,56.97,56.97,56.97,106,0
STHH.US,5,20251009,160500,57.51,57.51,57.51,57.51,100,0
STHH.US,5,20251009,162500,57.4,57.4,57.4,57.4,100,0
STHH.US,5,20251010,165500,57.6,57.6,57.6,57.6,100,0
STHH.US,5,20251013,155000,56.91,56.91,56.91,56.91,100,0
STHH.US,5,20251015,174000,57.39,57.39,57.39,57.39,100,0
STHH.US,5,20251015,180000,57.29,57.29,57.29,57.29,103,0
STHH.US,5,20251015,193500,57.16,57.16,57.16,57.16,101,0
STHH.US,5,20251016,210000,58.28,58.28,58.28,58.28,101,0
STHH.US,5,20251017,153000,57.51,57.51,57.51,57.51,100,0
STHH.US,5,20251020,153000,59.56,59.56,59.56,59.56,100,0
STHH.US,5,20251020,164000,60.29,60.29,60.29,60.29,100,0
STHH.US,5,20251021,160000,61.1,61.1,61.1,61.1,100,0
STHH.US,5,20251022,162000,59.84,59.84,59.84,59.84,100,0
STHH.US,5,20251022,165500,59.65,59.65,59.65,59.65,100,0
STHH.US,5,20251023,153000,52.01,52.06,51.6,51.6,2000,0
STHH.US,5,20251023,180500,51.23,51.23,51.23,51.23,100,0
STHH.US,5,20251024,153500,51.14,51.14,51.14,51.14,100,0
STHH.US,5,20251024,172000,50.23,50.23,50.23,50.23,102,0
STHH.US,5,20251027,143500,50.425,50.425,50.425,50.425,102,0
STHH.US,5,20251027,152500,50.79,50.79,50.79,50.79,198,0
STHH.US,5,20251027,165500,50.78,50.78,50.78,50.78,100,0
STHH.US,5,20251028,143500,50.64,50.64,50.64,50.64,198,0
STHH.US,5,20251029,144500,50.83,50.83,50.83,50.83,105,0
STHH.US,5,20251029,152500,50.69,50.69,50.69,50.69,100,0
STHH.US,5,20251029,193500,49.86,49.86,49.86,49.86,100,0
STHH.US,5,20251030,145000,49.85,49.85,49.85,49.85,104,0
STHH.US,5,20251030,151000,49.88,49.88,49.88,49.88,100,0
STHH.US,5,20251031,144000,49.76,49.76,49.76,49.76,100,0
STHH.US,5,20251031,150500,50.01,50.01,50.01,50.01,104,0
STHH.US,5,20251103,153500,49.95,49.95,49.95,49.95,100,0
STHH.US,5,20251103,161000,49.6,49.6,49.6,49.6,100,0
STHH.US,5,20251103,162500,49.41,49.41,49.41,49.41,100,0
STHH.US,5,20251103,213000,49.64,49.64,49.64,49.64,100,0
STHH.US,5,20251104,155500,48.83,48.83,48.83,48.83,100,0
STHH.US,5,20251104,163500,48.72,48.72,48.72,48.72,100,0
STHH.US,5,20251104,205500,47.97,47.97,47.97,47.97,100,0
STHH.US,5,20251104,212500,47.94,47.94,47.94,47.94,200,0
STHH.US,5,20251105,195500,49.12,49.12,49.12,49.12,200,0
STHH.US,5,20251105,215500,48.91,48.91,48.91,48.91,192,0
STHH.US,5,20251106,155000,48.67,48.67,48.67,48.67,196,0
STHH.US,5,20251106,184500,48.12,48.12,48.12,48.12,100,0
STHH.US,5,20251107,154000,47.25,47.25,47.25,47.25,100,0
STHH.US,5,20251107,210500,47.54,47.54,47.54,47.54,720,0
STHH.US,5,20251107,212500,47.31,47.31,47.31,47.31,100,0
STHH.US,5,20251107,215500,47.64,47.64,47.64,47.64,100,0
STHH.US,5,20251110,154500,47.72,47.72,47.72,47.72,103,0
STHH.US,5,20251110,171000,47.57,47.57,47.57,47.57,100,0
STHH.US,5,20251111,181000,48.19,48.19,48.19,48.19,107,0
STHH.US,5,20251111,185000,48.07,48.07,48.07,48.07,101,0
STHH.US,5,20251112,153000,48.82,48.82,48.82,48.82,100,0
STHH.US,5,20251113,173500,48.17,48.17,48.17,48.17,105,0
STHH.US,5,20251113,190000,48,48,48,48,100,0
STHH.US,5,20251114,153500,46.78,46.78,46.78,46.78,100,0
STHH.US,5,20251114,160000,47.23,47.23,47.23,47.23,120,0
STHH.US,5,20251114,190000,47.21,47.21,47.1899,47.1899,200,0
STHH.US,5,20251114,212000,46.9494,46.9494,46.9494,46.9494,115,0
STHH.US,5,20251117,160500,46.75,46.75,46.75,46.75,102,0
STHH.US,5,20251117,162500,46.65,46.65,46.65,46.65,110,0
STHH.US,5,20251118,155500,44.87,44.87,44.87,44.87,100,0
STHH.US,5,20251118,163000,44.9,44.9,44.9,44.9,100,0
STHH.US,5,20251119,173000,45.38,45.38,45.38,45.38,100,0
STHH.US,5,20251119,181500,45.28,45.28,45.28,45.28,100,0
STHH.US,5,20251120,195500,43.56,43.56,43.56,43.56,100,0
STHH.US,5,20251120,202500,43.6,43.6,43.6,43.6,100,0
STHH.US,5,20251121,204000,45.17,45.17,45.17,45.17,105,0
STHH.US,5,20251121,213500,45.02,45.02,45.02,45.02,100,0
STHH.US,5,20251124,161000,44.65,44.65,44.6499,44.6499,200,0
STHH.US,5,20251124,162500,44.69,44.69,44.69,44.69,101,0
STHH.US,5,20251124,165500,44.75,44.75,44.75,44.75,100,0
STHH.US,5,20251124,170000,44.8,44.8,44.8,44.8,104,0
STHH.US,5,20251125,153500,45.05,45.05,45.05,45.05,100,0
STHH.US,5,20251125,155500,45.13,45.13,45.13,45.13,100,0
STHH.US,5,20251125,174000,45.31,45.31,45.31,45.31,100,0
STHH.US,5,20251125,182000,45.33,45.33,45.33,45.33,105,0
STHH.US,5,20251126,155500,45.97,45.97,45.97,45.97,100,0
STHH.US,5,20251126,160500,46.03,46.03,46.03,46.03,100,0
STHH.US,5,20251126,215500,45.96,45.96,45.96,45.96,100,0
STHH.US,5,20251128,153500,46.14,46.14,46.14,46.14,100,0
STHH.US,5,20251201,154500,46.78,46.78,46.78,46.78,100,0
STHH.US,5,20251201,160500,46.75,46.75,46.75,46.75,100,0
STHH.US,5,20251203,195500,51,51,51,51,100,0
STHH.US,5,20251204,163000,51.44,51.44,51.44,51.44,100,0
STHH.US,5,20251204,165000,51.46,51.46,51.46,51.46,100,0
STHH.US,5,20251208,173000,52.14,52.14,52.14,52.14,101,0
STHH.US,5,20251208,175500,52.2,52.2,52.2,52.2,100,0
STHH.US,5,20251208,192000,52.1,52.1,52.1,52.1,100,0
STHH.US,5,20251209,161500,52.24,52.24,52.24,52.24,100,0
STHH.US,5,20251209,162500,52.21,52.21,52.21,52.21,100,0
STHH.US,5,20251210,160000,52.35,52.35,52.35,52.35,101,0
STHH.US,5,20251210,164500,52.2,52.2,52.2,52.2,100,0
STHH.US,5,20251211,160000,51.72,51.72,51.72,51.72,100,0
STHH.US,5,20251211,161000,52.01,52.01,52.01,52.01,101,0
STHH.US,5,20251211,171500,51.8,51.8,51.8,51.8,200,0
STHH.US,5,20251211,185500,52.03,52.03,52.03,52.03,100,0
STHH.US,5,20251211,202000,52.21,52.21,52.21,52.21,100,0
STHH.US,5,20251212,170000,52.47,52.47,52.47,52.47,102,0
STHH.US,5,20251212,173000,52.38,52.38,52.38,52.38,100,0
STHH.US,5,20251215,161500,52.69,52.69,52.69,52.69,100,0
STHH.US,5,20251215,175000,52.63,52.63,52.63,52.63,100,0
STHH.US,5,20251216,170500,51.76,51.76,51.76,51.76,144,0
STHH.US,5,20251217,162000,52.02,52.02,52.02,52.02,102,0
STHH.US,5,20251217,170000,51.21,51.21,51.21,51.21,100,0
STHH.US,5,20251218,164500,51.36,51.36,51.36,51.36,200,0
STHH.US,5,20251219,171500,52,52,52,52,100,0
STHH.US,5,20251219,215500,51.47,51.47,51.46,51.46,200,0
